ACCOUNT_MODEL,ACCOUNT_TYPE_ALIAS,ACCOUNT_TYPE_ID,ACCOUNT_TYPE_NAME,APPLY_CREDIT_LIMIT,BALANCE_DIRECTION,CREATE_OPER_ID,CREATE_OPER_TIME,CURRENCY,CUSTOMER_APPLIED,DEBIT_QUERY_BALANCE,DESCRIPTION,EXCLUDE_LIMIT,FOR_CHARGE_CREDIT,FOR_CHARGE_DEBIT,FOR_TAX_CREDIT,FOR_TAX_DEBIT,GROUP_APPLIED,ISLOYALTYPROVIDERACCT,IS_ALLOW_OVER_DRAW,IS_SHARABLE,LAST_OPER_ID,LAST_OPER_TIME,LOAD_DATA_TS,ORGANIZATION_APPLIED,REALTIME_UPDATE,SP_APPLIED,STATUS,STATUS_GROUP,UNIQUE_ID,VALUE_TYPE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    <endrec>
"1001","Withdrawal Account","10140","Withdrawal Account","","2","203000000000010164","2014-11-28 18:09:43.578000","TZS","false","","Used by Financial Institutions to pay out withdrawals from customers' savings accounts","false","false","false","false","false","False","","false","0","203000000000010164","2014-11-28 18:09:49.408000","2014-11-28 18:09:49.408000","true","true","false","30","1000|1002|1006","30132184","1001"<endrec>
"1001","Loan Disbursement Account","10138","Loan Disbursement Account","","2","203000000000010164","2014-11-28 18:21:30.851000","TZS","false","","Used by Financial Institutions to make loan payments to their customers","false","false","false","false","false","False","","false","0","203000000000010164","2014-11-28 18:21:37.162000","2014-11-28 18:21:37.162000","true","true","false","30","1000|1002|1006","30132187","1001"<endrec>
"1001","Loan Repayment Account","10139","Loan Repayment Account","","2","203000000000010164","2014-11-28 18:24:16.782000","TZS","false","","Used by Financial Institutions to receive loan repayments from their customers","false","false","false","false","false","False","","false","0","203000000000010164","2014-11-28 18:24:23.895000","2014-11-28 18:24:23.895000","true","true","false","30","1000|1002|1006","30132189","1001"<endrec>
"1001","Final Payout Account","10137","Final Payout Account","","2","203000000000010164","2014-11-28 18:24:47.094000","TZS","false","","This account can be used by Financial Institutions to make a final payout from a customer's savings account","false","false","true","false","false","False","","false","0","203000000000010164","2014-11-28 18:24:53.616000","2014-11-28 18:24:53.616000","true","true","false","30","1000|1002|1006","30132190","1001"<endrec>
"1001","Airtime Purchase Account","10027","Airtime Purchase Account","","2","203000000000010164","2014-12-02 09:49:37.114000","TZS","false","","Receives payments for airtime purchases","true","false","true","false","false","false","false","false","0","203000000000010811","2016-12-27 12:00:56.093000","2016-12-27 12:00:36.000000","true","false","false","50","1000|1002|1006","30135081","1001"<endrec>
"1001","MMF Account For Customer - M-PESA Account","10011","M-PESA Account","","2","203000000000010164","2014-12-09 15:54:35.519000","TZS","true","","MMF Account For Customer","false","true","true","false","false","False","","false","0","203000000000010164","2014-12-12 16:04:26.662000","2014-12-12 16:04:26.662000","false","true","false","50","1004|1005|1000|1002|1006","30136111","1001"<endrec>
"1001","M-PESA Account","10011","M-PESA Account","","2","203000000000010164","2014-12-12 16:04:20.450000","TZS","true","","M-PESA working capital account","false","true","true","false","false","False","","false","0","203000000000010503","2015-07-17 16:53:29.681000","2015-07-17 16:53:29.681000","false","true","false","50","1004|1005|1000|1002|1006","30137082","1001"<endrec>
"1001","Merchant Account","10022","Merchant Account","","2","203000000000010386","2015-03-11 14:36:21.151000","TZS","false","","Used by merchant organisations to receive payments for goods","false","false","true","false","false","False","","false","0","203000000000010386","2015-03-11 14:36:30.705000","2015-03-11 14:36:30.705000","true","true","false","30","1004|1005|1000|1002|1006","30159261","1001"<endrec>
"1001","Settlement Account","10089","Settlement Account","","2","203000000000010502","2015-07-24 11:09:38.900000","TZS","false","","Holds the debits and credits created during the automated settlement of M-Pesa Revenue or Airtime","false","false","false","false","false","False","","true","0","203000000000010809","2015-08-06 21:53:27.608000","2015-08-06 21:53:27.608000","true","true","true","50","1002|1006|1000|1000|1002|1006","937143897","1001"<endrec>
"1001","Data Bundle Purchase Account","10152","Data Bundle Purchase Account","","2","203000000000010502","2015-07-24 11:10:16.172000","TZS","false","","Holds the credits from customer purchases of bundle products","true","true","true","true","false","False","","true","0","203000000000010502","2015-07-24 11:10:26.737000","2015-07-24 11:10:26.737000","true","false","false","30","1002|1006|1000|1000|1002|1006","937143898","1001"<endrec>
