ACCUMULATOR_UNIQUE_ID,FILTER_TYPE,REASON_TYPE,TXN_AXN_TYPE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              <endrec>
"937510182","21","10002619","21499"<endrec>
"937510299","11","10000090","20018"<endrec>
"937510299","21","-1","-1"<endrec>
"937510309","11","10000110","20020"<endrec>
"937510309","21","-1","-1"<endrec>
"937510316","11","10000025","20022"<endrec>
"937510316","11","10000054","20006"<endrec>
"937510316","21","-1","-1"<endrec>
"937510426","11","10000054","20006"<endrec>
"937510426","21","-1","-1"<endrec>
"937510435","11","10000051","20006"<endrec>
"937510435","11","10000054","20006"<endrec>
"937510435","21","-1","-1"<endrec>
"937513725","01","10002687","27"<endrec>
"937514761","11","10000090","20018"<endrec>
"937514761","21","-1","-1"<endrec>
"937514767","11","10002620","21499"<endrec>
"937514767","21","-1","-1"<endrec>
"937514769","11","10002620","21499"<endrec>
"937514769","21","-1","-1"<endrec>
"937514777","11","10002620","21499"<endrec>
"937514777","21","-1","-1"<endrec>
"937514778","11","10002620","21499"<endrec>
"937514778","21","-1","-1"<endrec>
"937515911","11","-1","-1"<endrec>
"937515911","21","-1","-1"<endrec>
"937515924","01","10000016","21"<endrec>
"937516754","11","-1","-1"<endrec>
"937516754","21","-1","20018"<endrec>
"937516757","11","-1","-1"<endrec>
"937516757","21","-1","20018"<endrec>
"937516759","11","10000090","20018"<endrec>
"937516759","11","10000248","20018"<endrec>
"937516759","11","10003233","20018"<endrec>
"937516759","21","-1","-1"<endrec>
"937531771","11","-1","-1"<endrec>
"937531771","21","-1","20022"<endrec>
"937533747","11","10000018","20004"<endrec>
"937533747","11","10000020","20022"<endrec>
"937533747","11","10000022","20022"<endrec>
"937533747","11","10000025","20022"<endrec>
"937533747","11","10000151","20004"<endrec>
"937533747","11","10000154","20004"<endrec>
"937533747","21","-1","-1"<endrec>
"937533753","11","-1","-1"<endrec>
"937533753","21","10000119","20020"<endrec>
"937533759","11","-1","-1"<endrec>
