CHARGE_PROFILE_UNIQUE_ID,LOAD_DATA_TS,PRODUCT_ID                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        <endrec>
"937428302","","2"<endrec>
"937428303","","2"<endrec>
"937428304","","2"<endrec>
"937428306","","2"<endrec>
"937428308","","2"<endrec>
"937428309","","2"<endrec>
"937428310","","2"<endrec>
"937428311","","2"<endrec>
"937428312","","2"<endrec>
"937428320","","2"<endrec>
"937428324","","2"<endrec>
"937428329","","2"<endrec>
"937428334","","2"<endrec>
"937428335","","2"<endrec>
"937429160","","2"<endrec>
"937429161","","2"<endrec>
"937429167","","2"<endrec>
"937429169","","2"<endrec>
"937429173","","2"<endrec>
"937430144","","2"<endrec>
"937430169","","2"<endrec>
"937430204","","2"<endrec>
"937430205","","2"<endrec>
"937430206","","2"<endrec>
"937430216","","2"<endrec>
"937430217","","2"<endrec>
"937430218","","2"<endrec>
"937430230","","2"<endrec>
"937430231","","2"<endrec>
"937430240","","2"<endrec>
"937430244","","2"<endrec>
"937430246","","2"<endrec>
"937430301","","2"<endrec>
"937430311","","2"<endrec>
"937430313","","2"<endrec>
"937430320","","2"<endrec>
"937430324","","2"<endrec>
"937430325","","2"<endrec>
"937432172","","10000218"<endrec>
"937437164","","2"<endrec>
"937437165","","2"<endrec>
"937437166","","2"<endrec>
"937437167","","2"<endrec>
"937437168","","2"<endrec>
"937437169","","2"<endrec>
"937437170","","2"<endrec>
"937437171","","2"<endrec>
"937437172","","2"<endrec>
"937437173","","2"<endrec>
"937437181","","2"<endrec>
"937437182","","2"<endrec>
"937437183","","2"<endrec>
"937437185","","2"<endrec>
"937437187","","2"<endrec>
"937437188","","2"<endrec>
"937437189","","2"<endrec>
"937437191","","2"<endrec>
"937437193","","2"<endrec>
"937437194","","2"<endrec>
"937437195","","2"<endrec>
"937437196","","2"<endrec>
"937439221","","2"<endrec>
"937439222","","2"<endrec>
"937440220","","2"<endrec>
"937441226","","2"<endrec>
"937445237","","2"<endrec>
"937445238","","2"<endrec>
"937445243","","2"<endrec>
"937445246","","2"<endrec>
"937447240","","2"<endrec>
"937447254","","2"<endrec>
"937447261","","2"<endrec>
"937448226","","2"<endrec>
"937448302","","2"<endrec>
"937451296","","2"<endrec>
"937451298","","2"<endrec>
"937451301","","2"<endrec>
"937451304","","2"<endrec>
"937451311","","2"<endrec>
"937451312","","2"<endrec>
"937451316","","2"<endrec>
"937451357","","2"<endrec>
"937452257","","2"<endrec>
"937452258","","2"<endrec>
"937452271","","2"<endrec>
"937452273","","2"<endrec>
"937452274","","2"<endrec>
"937452278","","2"<endrec>
"937452279","","2"<endrec>
"937455313","","2"<endrec>
"937455314","","2"<endrec>
"937455315","","2"<endrec>
"937455316","","2"<endrec>
"937455333","","2"<endrec>
"937455335","","2"<endrec>
"937455337","","2"<endrec>
"937455338","","2"<endrec>
"937455342","","2"<endrec>
"937455343","","2"<endrec>
"937455344","","2"<endrec>
"937455345","","2"<endrec>
"937455346","","2"<endrec>
"937455348","","2"<endrec>
