APPLYDATE,CREATE_OPER_ID,CREATE_OPER_TIME,DESCRIPTION,EFFECTIVEMODE,EXPIREDATE,IDENTITY_TYPE,LAST_OPER_ID,LAST_OPER_TIME,LOAD_DATA_TS,NAME,PROFILE_ID,STATUS,UNIQUE_ID                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  <endrec>
"2015-08-03 22:04:26.443000","203000000000010805","2015-08-03 13:30:14.916000","TZ Default Customer Charges","1","2015-08-06 22:38:58.518000","1000","203000000000010809","2015-08-06 22:38:58.520000","","TZ Default Customer Charges","20132","50","937146031"<endrec>
"2015-09-04 00:21:41.813000","203000000000010805","2015-08-03 22:31:05.154000","TZ Default Organisation Charges","1","2015-09-08 03:28:39.795000","5000","203000000000010809","2015-09-08 03:28:39.799000","","TZ Default Organisation Charges","20134","50","937146034"<endrec>
"2015-09-04 00:15:02.098000","203000000000010805","2015-08-03 23:31:45.764000","TZ Pay Bill Split B0-C1","1","2015-09-08 21:43:53.016000","5000","203000000000010809","2015-09-08 21:43:53.020000","","TZ Pay Bill Split B0-C1","20136","50","937146036"<endrec>
"2015-09-04 00:05:11.608000","203000000000010805","2015-08-03 23:32:14.398000","TZ B2C Charges 2","1","2015-09-08 21:44:28.259000","5000","203000000000010809","2015-09-08 21:44:28.262000","","TZ B2C Charges 2","20137","50","937146037"<endrec>
"2015-08-05 22:50:26.129000","203000000000010805","2015-08-03 23:33:05.989000","TZ ATM Provider Charges","1","2099-12-31 23:59:59.000000","5000","203000000000010805","2015-08-05 22:50:26.133000","","TZ ATM Provider Charges","20139","30","937146039"<endrec>
"2015-08-06 22:38:58.518000","203000000000010809","2015-08-06 22:38:45.900000","TZ Default Customer Charges","1","2016-02-24 09:16:28.507000","1000","203000000000010806","2016-02-24 09:16:28.513000","","TZ Default Customer Charges","20132","50","937146078"<endrec>
"2015-08-10 04:37:18.581000","203000000000011204","2015-08-10 04:37:03.359000","Default Organization Charge Profile","1","2015-09-08 03:44:13.227000","5000","203000000000010809","2015-09-08 03:44:13.229000","","Default Organization Charge Profile","20013","50","937147110"<endrec>
"2015-08-28 09:05:33.482000","203000000000010811","2015-08-28 09:05:17.661000","IBM_TZ ATM Provider Charges","1","2099-12-31 23:59:59.000000","5000","203000000000010811","2015-08-28 09:05:33.488000","","IBM_TZ ATM Provider Charges","20144","30","937154170"<endrec>
"2015-09-03 21:06:19.008000","203000000000010809","2015-09-03 21:06:06.678000","","1","2015-09-03 21:12:40.954000","5000","203000000000010809","2015-09-03 21:12:40.960000","","AgentProductCharge","20154","50","937155150"<endrec>
"2015-09-03 21:12:40.954000","203000000000010809","2015-09-03 21:10:56.450000","","1","2015-09-03 21:18:41.333000","5000","203000000000010809","2015-09-03 21:18:41.359000","","AgentProductCharge","20154","50","937155151"<endrec>
"2015-09-03 21:18:41.333000","203000000000010809","2015-09-03 21:18:30.719000","","1","2015-09-04 00:57:57.286000","5000","203000000000010809","2015-09-04 00:57:57.289000","","AgentProductCharge","20154","50","937155152"<endrec>
"2015-09-04 00:33:32.876000","203000000000010809","2015-09-04 00:33:22.561000","","1","2018-03-06 09:18:01.981000","5000","203000000000010806","2018-03-06 09:18:01.982000","","TZ Merchant Charges","20155","50","937155153"<endrec>
"2015-09-04 00:57:57.286000","203000000000010809","2015-09-04 00:57:51.139000","","1","2015-10-16 14:11:30.112000","5000","203000000000010806","2015-10-16 14:11:30.132000","","AgentProductCharge","20154","50","937155154"<endrec>
"2015-09-08 03:28:39.795000","203000000000010809","2015-09-08 03:28:24.919000","TZ Default Organisation Charges","1","2015-09-23 01:14:12.072000","5000","203000000000010805","2015-09-23 01:14:12.076000","","TZ Default Organisation Charges","20134","50","937156160"<endrec>
"2015-09-08 03:44:13.227000","203000000000010809","2015-09-08 03:43:53.176000","Default Organization Charge Profile","1","2015-10-16 12:10:26.942000","5000","203000000000010806","2015-10-16 12:10:26.944000","","Default Organization Charge Profile","20013","50","937156163"<endrec>
"2015-09-08 21:43:53.016000","203000000000010809","2015-09-08 21:43:38.347000","TZ Pay Bill Split B0-C1","1","2015-09-17 09:16:52.605000","5000","203000000000011204","2015-09-17 09:16:52.611000","","TZ Pay Bill Split B0-C1","20136","50","937156172"<endrec>
"2015-09-08 21:44:28.259000","203000000000010809","2015-09-08 21:44:17.103000","TZ B2C Charges 2","1","2015-09-09 09:26:27.078000","5000","203000000000010806","2015-09-09 09:26:27.082000","","TZ B2C Charges 2","20137","50","937156173"<endrec>
"2015-09-09 09:26:27.078000","203000000000010806","2015-09-09 09:26:06.581000","TZ B2C Charges 2","1","2015-09-23 00:24:53.617000","5000","203000000000010805","2015-09-23 00:24:53.631000","","TZ B2C Charges 2","20137","50","937157184"<endrec>
"2015-09-16 08:08:09.763000","203000000000011705","2015-09-16 08:07:56.432000","","1","2017-04-20 19:02:54.718000","1000","203000000000019602","2017-04-20 19:02:54.720000","","change customer charge profile test","20164","50","937161184"<endrec>
