LOAD_DATA_TS,PARAM_CATEGORY_CODE,PARAM_CODE,VALUE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       <endrec>
"","-1","FIELDS_OF_REQUEST_SYSTEM_TXN_ID",""<endrec>
"","-1","FINANCE_TRANSACTIONS_FOR_AUTO_COMPLETING",""<endrec>
"","-1","FINANCE_TRANSACTIONS_FOR_PRO-APPROVAL","20013"<endrec>
"","-1","FINANCIAL_TRANSACTION_REPORT_MAX","200"<endrec>
"","-1","FIRST_SELECT_PROMPT","first_select_prompt"<endrec>
"","-1","FLAG_MULT_ACCUOUNTS_EVERY_BANK_CUST","1"<endrec>
"","-1","FLAG_MULT_ACCUOUNTS_EVERY_BANK_ORG","1"<endrec>
"","-1","FOREIGN_EXCHANGE_ACCURACY","10"<endrec>
"","-1","FOREIGN_EXCHANGE_RATE_FILE","/ForeignExchangeRate"<endrec>
"","-1","FSI_SERVICE","10120,10111,10121,10097,10102,10116,10096,10141,10099,10101,10103,10140,10098,10114,10106,10118,10113,10108,10104,10105,10112,10107,10109,10110"<endrec>
"","-1","GENERATE_UMC_MENU_NUM_AUTOMATICALLY","0"<endrec>
"","-1","GENERIC_CONFIRM_TXN_WF_TASKTYPE","TransactionConfirmWF"<endrec>
"","-1","GLOBAL_DEFAULT_CONTROL_ACCOUNT","800000000101004011"<endrec>
"","-1","GROUPING_SYMBOL_COLLECTION",","<endrec>
"","-1","GROUP_CODE_VALIDATION_RULE","^([0-9A-Za-z]{0,13})$"<endrec>
"","-1","GROUP_DEFAULT_ACCOUNT_RULE_PROFILE_ASSIGNMENT","1"<endrec>
"","-1","GROUP_DEFAULT_CHARGE_PROFILE_ASSIGNMENT","1"<endrec>
"","-1","GROUP_DEFAULT_RULE_PROFILE_ASSIGNMENT","1"<endrec>
"","-1","GROUP_DESC_VALIDATION_RULE","^([0-9A-Za-z]{2,512})$"<endrec>
"","-1","GROUP_DORMANT_INACTIVE_PERIOD","2"<endrec>
