ALLOW_EMPTY,CHANNEL,COMMAND_SCOPE,DATA_FORMAT,DATA_TYPE,DESCRIPTION,ENCRYPTED,PARAM_INVALID_ERROR_CODE,PARAM_MISSING_ERROR_CODE,PARA_CODE,PARA_ID,PARA_ORDER_ID,PARENT_PARA_ID,REQUIRED,REQUIRED_IF,SINCE_VERSION                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       <endrec>
"false","SchemaAPI","UpdateOrgOperatorKYC","","String","","false","","","CertificateExpiryDate","9016","0","9012","false","",""<endrec>
"false","IMTAPI","IMTRemittanceResponse","","String","","false","","","currency","90160","0","90159","false","",""<endrec>
"false","IMTAPI","IMTRemittanceResponse","","String","","false","","","amount","90161","1","90159","false","",""<endrec>
"false","IMTAPI","IMTRemittanceResponse","","String","","false","","","grace","90162","2","90159","false","",""<endrec>
"false","IMTAPI","IMTRemittanceResponse","","String","","false","","","validity","90163","3","90159","false","",""<endrec>
"false","IMTAPI","IMTRemittanceResponse","","String","","false","","","creditedAmount","90164","4","90153","false","",""<endrec>
"false","IMTAPI","IMTRemittanceResponse","","String","","false","","","currency","90165","0","90164","false","",""<endrec>
"false","IMTAPI","IMTRemittanceResponse","","String","","false","","","amount","90166","1","90164","false","",""<endrec>
"false","IMTAPI","IMTRemittanceResponse","","String","","false","","","grace","90167","2","90164","false","",""<endrec>
"false","IMTAPI","IMTRemittanceResponse","","String","","false","","","validity","90168","3","90164","false","",""<endrec>
"false","IMTAPI","IMTRemittanceResponse","","String","","false","","","initialAmount","90169","5","90153","false","",""<endrec>
"false","SchemaAPI","UpdateSPOperatorKYC","","String","","false","","","UpdateSPOperatorKYCRequest","9017","0","6631","true","",""<endrec>
"false","IMTAPI","IMTRemittanceResponse","","String","","false","","","currency","90170","0","90169","false","",""<endrec>
"false","IMTAPI","IMTRemittanceResponse","","String","","false","","","amount","90171","1","90169","false","",""<endrec>
"false","IMTAPI","IMTRemittanceResponse","","String","","false","","","grace","90172","2","90169","false","",""<endrec>
"false","IMTAPI","IMTRemittanceResponse","","String","","false","","","validity","90173","3","90169","false","",""<endrec>
"false","IMTAPI","IMTRemittanceResponse","","String","","false","","","vendorSpecificFields","90174","6","90150","false","",""<endrec>
"false","IMTAPI","IMTRemittanceResponse","","String","","false","","","vsf_2390_1000","90175","0","90174","false","",""<endrec>
"true","IMTAPI","IMTRemittanceResponse","","String","","false","","","vsf_2390_500","90176","1","90174","false","",""<endrec>
"true","IMTAPI","IMTRemittanceResponse","","String","","false","","","vsf_2390_10200","90177","2","90174","false","",""<endrec>
