LOAD_DATA_TS,PRODUCT_UNIQUE_ID,PROPERTY_CODE,PROPERTY_VALUE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             <endrec>
"","30116974","ORG_IDENTITY_SUB_TYPE","5001"<endrec>
"","30116975","ORG_IDENTITY_MODEL","1"<endrec>
"","30116975","ORG_IDENTITY_SUB_TYPE","5002"<endrec>
"","30116976","ORG_IDENTITY_MODEL","0"<endrec>
"","30116976","ORG_IDENTITY_SUB_TYPE","5002"<endrec>
"","30116978","B2B_BILL_REF_NUM_RULE",""<endrec>
"","30116978","BILL_REF_NUM_RULE",""<endrec>
"","30116978","ORG_IDENTITY_MODEL","1"<endrec>
"","30116978","ORG_IDENTITY_SUB_TYPE","5001"<endrec>
"","30116979","BILL_REF_NUM_RULE",""<endrec>
"","30116979","ORG_IDENTITY_MODEL","1"<endrec>
"","30116979","ORG_IDENTITY_SUB_TYPE","5002"<endrec>
"","30116980","ORG_IDENTITY_MODEL","1"<endrec>
"","30116980","ORG_IDENTITY_SUB_TYPE","5001"<endrec>
"","30118467","ORG_IDENTITY_MODEL","1"<endrec>
"","30118467","ORG_IDENTITY_SUB_TYPE","5001"<endrec>
"","30119009","CUST_FSI_PROVISIONING_PRODUCT_FLAG",""<endrec>
"","30119009","CUST_IDENTITY_SUB_TYPE","1002"<endrec>
"","30119010","CUST_FSI_PROVISIONING_PRODUCT_FLAG",""<endrec>
"","30119010","CUST_IDENTITY_SUB_TYPE","1002"<endrec>
"","30120058","CUST_IDENTITY_SUB_TYPE","1002"<endrec>
"","30120107","ORG_IDENTITY_MODEL","3"<endrec>
"","30120107","ORG_IDENTITY_SUB_TYPE","-1"<endrec>
"","30120112","ORG_IDENTITY_MODEL","3"<endrec>
"","30120112","ORG_IDENTITY_SUB_TYPE","-1"<endrec>
"","30120113","FSI_ORG_PRODUCT_FLAG",""<endrec>
"","30120113","ORG_IDENTITY_MODEL","3"<endrec>
"","30120113","ORG_IDENTITY_SUB_TYPE","-1"<endrec>
"","30120114","FSI_ORG_PRODUCT_FLAG",""<endrec>
"","30120114","ORG_IDENTITY_MODEL","3"<endrec>
"","30120114","ORG_IDENTITY_SUB_TYPE","-1"<endrec>
"","30120121","ORG_IDENTITY_MODEL","3"<endrec>
