DEFAULT_VALUE,LANGUAGE,VARIABLE_NAME                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    <endrec>
"12/06/2013","en","ServiceAction.InputEndDate"<endrec>
"ltd","en","ServiceAction.LastName"<endrec>
"15320145","en","ServiceAction.OperatorCode"<endrec>
"Operator A","en","ServiceAction.OperatorName"<endrec>
"13/06/2013","en","ServiceAction.QueryBeginDate"<endrec>
"14/06/2013","en","ServiceAction.QueryEndDate"<endrec>
"5.00","en","ServiceAction.QueryFSIInfo.FSILoanBalance"<endrec>
"2014-01-01 withdraw 100.00 dollars.","en","ServiceAction.QueryFSIInfo.FSIMiniStatementString"<endrec>
"5.00","en","ServiceAction.QueryFSIInfo.FSISavingsBalance"<endrec>
"2013-01-01 loan 100.00 dollors.","en","ServiceAction.QueryFSIInfo.LoanMiniStatementString"<endrec>
"5.00","en","ServiceAction.QueryFSIInfo.ResidualLoanLimit"<endrec>
"86812530001","en","ServiceAction.Receiver.Identifier"<endrec>
"{{ServiceAction.Receiver.IdentityName}}","en","ServiceAction.Receiver.IdentityName"<endrec>
"1234","en","ServiceAction.Receiver.MsisdnLast4Digits"<endrec>
"Recipients","en","ServiceAction.Recipients"<endrec>
"2197","en","ServiceAction.RegisterCustomer.StartPIN"<endrec>
"R999999999","en","ServiceAction.ReversalRequest.ID"<endrec>
"M-Pesa","en","ServiceAction.SPName"<endrec>
"Cash in","en","ServiceAction.ServiceName"<endrec>
"AccountStatementList","en","ServiceAction.Statement.AccountStatmentList"<endrec>
"CR","en","ServiceAction.Statement.CreditOrDebit"<endrec>
"9/8/2014","en","ServiceAction.Statement.Date"<endrec>
"$1,000.00","en","ServiceAction.Statement.PrincipleAmount"<endrec>
"Cash in at agent","en","ServiceAction.Statement.ReasonAlias"<endrec>
"13612345678","en","ServiceAction.Statement.TargetNumber"<endrec>
"15","en","ServiceAction.Statement.Time"<endrec>
"14","en","ServiceAction.UnclaimedExpiredTime"<endrec>
"Paybill","en","ServiceAction.Voucher.AccountName"<endrec>
"10001","en","ServiceAction.Voucher.AccountNo"<endrec>
"0","en","ServiceAction.Voucher.Amount"<endrec>
"31/03/2013","en","ServiceAction.Voucher.ExpireDate"<endrec>
"14","en","ServiceAction.Voucher.ExpireTime"<endrec>
"00000000","en","ServiceAction.Voucher.ExternalOrderNo"<endrec>
"11/06/2013","en","ServiceAction.Voucher.RedeemDate"<endrec>
"2015","en","ServiceAction.Voucher.SecretCode"<endrec>
"235748523","en","ServiceAction.Voucher.VoucherCode"<endrec>
"CH","en","ServiceAction.statement.ChargeAlias"<endrec>
"$10.00","en","ServiceAction.statement.ChargeAmount"<endrec>
"CM","en","ServiceAction.statement.CommissionAlias"<endrec>
"$5.00","en","ServiceAction.statement.CommissionAmount"<endrec>
"TX","en","ServiceAction.statement.TaxAlias"<endrec>
"$1.00","en","ServiceAction.statement.TaxAmount"<endrec>
"Finished","en","ServiceAction.statement.status"<endrec>
"0","en","Transaction.AdditionalData.HomeSend_Charge_Amount"<endrec>
"0","en","Transaction.AdditionalData.Principle_Amount"<endrec>
"24/03/2013","en","Transaction.BasicInfo.ExpiryDate"<endrec>
"0000","en","Transaction.BasicInfo.ExternalOrderNo"<endrec>
"20130324135011000012","en","Transaction.BasicInfo.OriTransLogId"<endrec>
"24/03/2013","en","Transaction.BasicInfo.TransInitiateDate"<endrec>
"13","en","Transaction.BasicInfo.TransInitiateTime"<endrec>
"20130324135011000012","en","Transaction.BasicInfo.TransLogId"<endrec>
"80","en","Transaction.BrokenLimit.CurrentValue"<endrec>
"","en","Transaction.BrokenLimit.LimitPattern"<endrec>
"5.00","en","Transaction.BrokenLimit.LimitRuleId"<endrec>
"daily transaction amount","en","Transaction.BrokenLimit.LimitRuleName"<endrec>
"5.00","en","Transaction.BrokenLimit.PeriodLength"<endrec>
"1","en","Transaction.BrokenLimit.PeriodType"<endrec>
"day","en","Transaction.BrokenLimit.PeriodUnit"<endrec>
"max","en","Transaction.BrokenLimit.ThresholdType"<endrec>
"100","en","Transaction.BrokenLimit.ThresholdValue"<endrec>
"55555","en","Transaction.ClosedOperatorId"<endrec>
"","en","Transaction.Comment2Customer"<endrec>
"secret word","en","Transaction.Credential"<endrec>
"default account","en","Transaction.Credit.AccountName"<endrec>
"","en","Transaction.Credit.GroupCode"<endrec>
"AirtimeCommission","en","Transaction.Credit.IdentityAccountAlias"<endrec>
"50000.00","en","Transaction.Credit.IdentityAccountBalance"<endrec>
"Active","en","Transaction.Credit.IdentityAccountStatus"<endrec>
"AirtimeCommission","en","Transaction.Credit.IdentityAccountTypeName"<endrec>
"8613512345678","en","Transaction.Credit.IdentityMSISDN"<endrec>
"Huawei","en","Transaction.Credit.IdentityName"<endrec>
"frozen","en","Transaction.Credit.IdentityStatus"<endrec>
"1234","en","Transaction.Credit.MSISDNLast4Digits"<endrec>
"andy","en","Transaction.Credit.OrgName"<endrec>
"200001","en","Transaction.Credit.OrgShortCode"<endrec>
"default account","en","Transaction.Debit.AccountName"<endrec>
"AirtimeCommission","en","Transaction.Debit.IdentityAccountAlias"<endrec>
"50000.00","en","Transaction.Debit.IdentityAccountBalance"<endrec>
"Active","en","Transaction.Debit.IdentityAccountStatus"<endrec>
"AirtimeCommission","en","Transaction.Debit.IdentityAccountTypeName"<endrec>
"8613512345678","en","Transaction.Debit.IdentityMSISDN"<endrec>
"VDF Ltd.","en","Transaction.Debit.IdentityName"<endrec>
"frozen","en","Transaction.Debit.IdentityStatus"<endrec>
"1234","en","Transaction.Debit.MSISDNLast4Digits"<endrec>
"andy","en","Transaction.Debit.OrgName"<endrec>
"100001","en","Transaction.Debit.OrgShortCode"<endrec>
"5.00","en","Transaction.DormantCustomerName"<endrec>
"EnteredMSISDN","en","Transaction.EnteredRechargedMSISDN"<endrec>
"5.00","en","Transaction.FSIInfo.FSILoanBalance"<endrec>
"0","en","Transaction.FSIInfo.FSINewBalance"<endrec>
"5.00","en","Transaction.FSIInfo.FSISavingsBalance"<endrec>
"0","en","Transaction.FSIInfo.OverpayAmount"<endrec>
"145","en","Transaction.FSIInfo.RepaymentAmountFromSavings"<endrec>
"100000.00","en","Transaction.FeeInfo.ActualAmount"<endrec>
"10000","en","Transaction.FeeInfo.AmountNumber"<endrec>
"200.00","en","Transaction.FeeInfo.Commission"<endrec>
"200","en","Transaction.FeeInfo.CreditParty.Commission"<endrec>
"200","en","Transaction.FeeInfo.CreditParty.Fee"<endrec>
"USD","en","Transaction.FeeInfo.Currency"<endrec>
"200","en","Transaction.FeeInfo.DebitParty.Commission"<endrec>
"200","en","Transaction.FeeInfo.DebitParty.Fee"<endrec>
