LIMIT_OBJECT_ID,LIMIT_RULE_UNIQUE_ID,OBJECT_ID,OBJECT_TYPE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              <endrec>
"153188000","937487674","20020","2"<endrec>
"154187000","937488598","20020","2"<endrec>
"155189000","937489594","20006","2"<endrec>
"156187000","937490590","20020","2"<endrec>
"156189000","937490592","20020","2"<endrec>
"156191000","937490593","20020","2"<endrec>
"156193000","937490596","20020","2"<endrec>
"156195000","937490603","20003","2"<endrec>
"156198000","937490604","20003","2"<endrec>
"156200000","937490632","20020","2"<endrec>
"156202000","937490637","20999","2"<endrec>
"156203000","937490637","20020","2"<endrec>
"156208000","937490655","20003","2"<endrec>
"156209000","937490655","20009","2"<endrec>
"157187000","937491603","20009","2"<endrec>
"157189000","937491611","20009","2"<endrec>
"157190000","937491611","24699","2"<endrec>
"157193000","937491613","20999","2"<endrec>
"157194000","937491613","20020","2"<endrec>
"158187000","937492591","20009","2"<endrec>
"158188000","937492591","24699","2"<endrec>
"158193000","937492603","20999","2"<endrec>
"158194000","937492603","20020","2"<endrec>
"158201000","937492621","20009","2"<endrec>
"158202000","937492621","24699","2"<endrec>
"158209000","937492632","20020","2"<endrec>
"158212000","937492634","20013","2"<endrec>
"158213000","937492634","23001","2"<endrec>
"158214000","937492634","21698","2"<endrec>
"158215000","937492634","21799","2"<endrec>
"158216000","937492634","20999","2"<endrec>
"158217000","937492634","20001","2"<endrec>
"158218000","937492634","20003","2"<endrec>
"158219000","937492634","22800","2"<endrec>
"158230000","937492644","20013","2"<endrec>
"158231000","937492644","21698","2"<endrec>
"158232000","937492644","20999","2"<endrec>
"158233000","937492644","20001","2"<endrec>
"158234000","937492644","20003","2"<endrec>
"158235000","937492644","22800","2"<endrec>
"158246000","937492647","21799","2"<endrec>
"158248000","937492653","21799","2"<endrec>
"159187000","937494597","20004","2"<endrec>
"159188000","937494597","20003","2"<endrec>
"159189000","937494597","20009","2"<endrec>
"159193000","937494611","20004","2"<endrec>
"159194000","937494611","20022","2"<endrec>
"159198000","937494625","20004","2"<endrec>
"159199000","937494625","20003","2"<endrec>
"159200000","937494625","20009","2"<endrec>
"159205000","937494626","20004","2"<endrec>
"159206000","937494626","20022","2"<endrec>
"159207000","937494626","20003","2"<endrec>
"159208000","937494626","20009","2"<endrec>
"159214000","937494634","20009","2"<endrec>
"159215000","937494634","24699","2"<endrec>
"160187000","937495584","20004","2"<endrec>
"160188000","937495584","20001","2"<endrec>
"160189000","937495584","20022","2"<endrec>
"160190000","937495584","20003","2"<endrec>
"160191000","937495584","20009","2"<endrec>
"160198000","937495592","20999","2"<endrec>
"160199000","937495592","20020","2"<endrec>
"160201000","937495606","20018","2"<endrec>
"160202000","937495606","20020","2"<endrec>
"161187000","937496720","20046","2"<endrec>
"162187000","937497667","20020","2"<endrec>
"162189000","937497682","20001","2"<endrec>
"162190000","937497682","20020","2"<endrec>
"162192000","937497685","20001","2"<endrec>
"162193000","937497685","20020","2"<endrec>
"162195000","937497693","20898","2"<endrec>
"16234000","30004030","20001","2"<endrec>
"16235000","30004030","20003","2"<endrec>
"16236000","30004030","20013","2"<endrec>
"16240000","30004025","20001","2"<endrec>
"16241000","30004025","20003","2"<endrec>
"16242000","30004025","20013","2"<endrec>
"163187000","937498728","20001","2"<endrec>
"163188000","937498728","20020","2"<endrec>
"163190000","937498776","20999","2"<endrec>
"163191000","937498776","20001","2"<endrec>
"163192000","937498776","20020","2"<endrec>
"163201000","937498777","20013","2"<endrec>
"164200000","937509738","20003","2"<endrec>
"164220000","937509767","20022","2"<endrec>
"164221000","937509767","20020","2"<endrec>
"164222000","937509768","20001","2"<endrec>
"164223000","937509768","20022","2"<endrec>
"164224000","937509768","20020","2"<endrec>
"164227000","937509793","20022","2"<endrec>
"164228000","937509793","20020","2"<endrec>
"164229000","937509794","20022","2"<endrec>
"164230000","937509794","20020","2"<endrec>
"164231000","937509795","20022","2"<endrec>
"164232000","937509795","20020","2"<endrec>
"164233000","937509840","20001","2"<endrec>
"164234000","937509840","20022","2"<endrec>
"164235000","937509840","20020","2"<endrec>
"164236000","937509866","20022","2"<endrec>
"164237000","937509866","20020","2"<endrec>
"164238000","937509867","20001","2"<endrec>
"164239000","937509867","20022","2"<endrec>
"164240000","937509867","20020","2"<endrec>
"164241000","937509879","20022","2"<endrec>
"164242000","937509879","20020","2"<endrec>
"164243000","937509896","20999","2"<endrec>
"164244000","937509896","20009","2"<endrec>
"164245000","937509896","20698","2"<endrec>
"164246000","937509896","20020","2"<endrec>
"164248000","937509940","20022","2"<endrec>
"164249000","937509940","20020","2"<endrec>
"164250000","937509942","20001","2"<endrec>
"164251000","937509942","20022","2"<endrec>
"164252000","937509942","20020","2"<endrec>
"164253000","937509992","20022","2"<endrec>
"164254000","937509992","20020","2"<endrec>
"164255000","937509994","20001","2"<endrec>
"164256000","937509994","20022","2"<endrec>
"164257000","937509994","20020","2"<endrec>
"164258000","937509997","20013","2"<endrec>
"164259000","937509997","21698","2"<endrec>
"164260000","937509997","20999","2"<endrec>
"164261000","937509997","20001","2"<endrec>
"164262000","937509997","20003","2"<endrec>
"164263000","937509997","22800","2"<endrec>
"164275000","937510140","20009","2"<endrec>
"164276000","937510140","24699","2"<endrec>
"164283000","937510239","21505","2"<endrec>
"164284000","937510239","20001","2"<endrec>
"164285000","937510239","20003","2"<endrec>
"164286000","937510239","20009","2"<endrec>
"164294000","937510262","20020","2"<endrec>
"164297000","937510263","20020","2"<endrec>
"164300000","937510265","20006","2"<endrec>
"164301000","937510265","20051","2"<endrec>
"164302000","937510265","21698","2"<endrec>
"164303000","937510265","21502","2"<endrec>
"164304000","937510265","21800","2"<endrec>
"164305000","937510265","21805","2"<endrec>
"164306000","937510265","20803","2"<endrec>
"164307000","937510265","20999","2"<endrec>
"164308000","937510265","20001","2"<endrec>
