MAPPING_CATEGORY,MAPPING_DIRECTION,MAPPING_ID,MODIFY_FLAG,MSG_TYPE,SOURCE_TYPE,SOURCE_VALUE,TARGET_TYPE,TARGET_VALUE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    <endrec>
"04","02","19120","1","","01","GV50004","01","E1"<endrec>
"04","02","19121","1","","01","GV50005","01","E0"<endrec>
"04","02","19122","1","","01","GV50006","01","E0"<endrec>
"04","02","19123","1","","01","GV50007","01","E1"<endrec>
"04","02","19124","1","","01","GV50008","01","E1"<endrec>
"04","02","19125","1","","01","GV50009","01","E1"<endrec>
"04","02","19126","1","","01","IC19303","01","E1"<endrec>
"04","02","19127","1","","01","GV50010","01","E1"<endrec>
"04","02","19128","1","","01","GV50011","01","E0"<endrec>
"04","02","19129","1","","01","GV50012","01","E0"<endrec>
"04","02","19130","1","","01","GV50016","01","E1"<endrec>
"04","02","19131","1","","01","GV50013","01","E0"<endrec>
"04","02","19132","1","","01","GV50014","01","E0"<endrec>
"04","02","19133","1","","01","GV50015","01","E2"<endrec>
"04","02","19134","1","","01","GV50017","01","E1"<endrec>
"04","02","19135","1","","01","GV50018","01","E0"<endrec>
"04","02","19136","1","","01","GV50019","01","E0"<endrec>
"04","02","19137","1","","01","GV50020","01","E0"<endrec>
"04","02","19138","1","","01","GV50021","01","E0"<endrec>
"04","02","19139","1","","01","GV50022","01","E0"<endrec>
"04","02","19140","1","","01","GV50023","01","E0"<endrec>
"04","02","19141","1","","01","GV50024","01","E1"<endrec>
"04","02","19142","1","","01","GV50025","01","E1"<endrec>
"04","02","19143","1","","01","GV50026","01","E2"<endrec>
"04","02","19144","1","","01","GV50027","01","E0"<endrec>
"04","02","19145","1","","01","GV50028","01","E1"<endrec>
"04","02","19146","1","","01","GV50029","01","E1"<endrec>
"04","02","19147","1","","01","GV50030","01","E1"<endrec>
"04","02","19148","1","","01","GV50031","01","E1"<endrec>
"04","02","19149","1","","01","GV50032","01","E0"<endrec>
"04","02","19150","1","","01","GV50033","01","E1"<endrec>
"04","02","19151","1","","01","GV50034","01","E0"<endrec>
"04","02","19152","1","","01","GV50035","01","E0"<endrec>
"04","02","19153","1","","01","GV50036","01","E1"<endrec>
"04","02","19154","1","","01","GV50037","01","E1"<endrec>
"04","02","19155","1","","01","GV50038","01","E1"<endrec>
"04","02","19156","1","","01","GV50039","01","E1"<endrec>
"04","02","19157","1","","01","GV50040","01","E1"<endrec>
"04","02","19158","1","","01","GV50041","01","E1"<endrec>
"04","02","19159","1","","01","GV50042","01","E0"<endrec>
"04","02","19160","1","","01","GV50043","01","E2"<endrec>
"04","02","19161","1","","01","GV50044","01","E1"<endrec>
"04","02","19162","1","","01","GV50045","01","E0"<endrec>
"04","02","19163","1","","01","GV50046","01","E0"<endrec>
"04","02","19164","1","","01","GV50047","01","E0"<endrec>
"04","02","19165","1","","01","GV50048","01","E0"<endrec>
"04","02","19166","1","","01","GV50049","01","E0"<endrec>
"04","02","19167","1","","01","GV50050","01","E0"<endrec>
"04","02","19168","1","","01","GV50051","01","E0"<endrec>
"04","02","19169","1","","01","GV50052","01","E0"<endrec>
"04","02","19170","1","","01","GV50053","01","E0"<endrec>
"04","02","19171","1","","01","GV50054","01","E0"<endrec>
"04","02","19172","1","","01","GV50055","01","E0"<endrec>
"04","02","19173","1","","01","GV50056","01","E0"<endrec>
"04","02","19174","1","","01","GV50057","01","E0"<endrec>
"04","02","19175","1","","01","GV50058","01","E2"<endrec>
"04","02","19176","1","","01","GV50059","01","E1"<endrec>
"04","02","19177","1","","01","GV50060","01","E1"<endrec>
"04","02","19178","1","","01","GV50061","01","E1"<endrec>
"04","02","19179","1","","01","GV50062","01","E1"<endrec>
"01","02","2","1","","01","TP30046","01","1004"<endrec>
"05","02","20001","0","","01","AG45028","01","2008"<endrec>
"05","02","20002","0","","01","AG45301","01","2015"<endrec>
"05","02","20003","0","","01","AG45023","01","2006"<endrec>
"05","02","20004","0","","01","AG45300","01","2006"<endrec>
"05","02","20005","0","","01","AG45302","01","2006"<endrec>
"05","02","20006","0","","01","AG45303","01","2006"<endrec>
"05","02","20007","0","","01","AG45022","01","2011"<endrec>
"05","02","20008","0","","01","AG45030","01","2002"<endrec>
"05","02","20009","0","","01","AG45042","01","2002"<endrec>
"01","02","3","1","","01","TP30051","01","1004"<endrec>
"55","02","30275","0","","01","SYS00000","01","0"<endrec>
"52","02","30276","0","*","01","0","01","0"<endrec>
"2054","01","30277","1","","01","ERR0001","01","PORTAL90268"<endrec>
"2054","02","30278","1","","01","AG45001","01","ERR0001"<endrec>
"57","01","30334","0","*","01","ERR0001","01","AG47001"<endrec>
"57","01","30335","0","*","01","ERR0002","01","AG47002"<endrec>
"57","01","30336","0","*","01","ERR0004","01","BCS47001"<endrec>
"57","01","30337","0","*","01","ERR0005","01","BCS47002"<endrec>
"57","01","30338","0","*","01","ERR0006","01","AG47003"<endrec>
"57","01","30339","0","*","01","ERR0007","01","AG47004"<endrec>
"57","01","30340","0","*","01","ERR0008","01","AG47005"<endrec>
"57","01","30341","0","*","01","ERR0009","01","BCS47003"<endrec>
"57","01","30342","0","*","01","ERR0010","01","BCS47004"<endrec>
"57","01","30343","0","*","01","ERR0011","01","AG47006"<endrec>
"57","01","30344","0","*","01","ERR0012","01","AG47007"<endrec>
"57","01","30345","0","*","01","ERR0013","01","AG47008"<endrec>
"57","01","30346","0","*","01","ERR0014","01","BCS47005"<endrec>
"57","01","30347","0","*","01","ERR0015","01","BCS47006"<endrec>
"57","01","30348","0","*","01","ERR0016","01","BCS47007"<endrec>
"57","01","30349","0","*","01","ERR0017","01","BCS47008"<endrec>
"57","01","30350","0","*","01","ERR0018","01","BCS47009"<endrec>
"57","01","30351","0","*","01","ERR0019","01","BCS47010"<endrec>
"57","01","30352","0","*","01","ERR0020","01","BCS47011"<endrec>
"57","01","30353","0","*","01","ERR0021","01","BCS47012"<endrec>
"57","01","30354","0","*","01","ERR0022","01","BCS47013"<endrec>
"57","01","30355","0","*","01","ERR0023","01","BCS47014"<endrec>
"57","01","30356","0","*","01","ERR0024","01","BCS47015"<endrec>
"57","01","30357","0","*","01","ERR0025","01","BCS47016"<endrec>
"57","01","30358","0","*","01","ERR0026","01","AG47009"<endrec>
"57","01","30359","0","*","01","ERR0027","01","BCS47017"<endrec>
"57","01","30360","0","*","01","ERR0028","01","AG47010"<endrec>
"57","01","30361","0","*","01","ERR0029","01","AG47011"<endrec>
"57","01","30362","0","*","01","ERR0030","01","AG47012"<endrec>
"57","01","30363","0","*","01","ERR0031","01","BCS47018"<endrec>
"57","01","30364","0","*","01","ERR0032","01","BCS47019"<endrec>
"57","02","30366","0","","01","AG47001","01","ERR0001"<endrec>
"57","02","30367","0","","01","AG47002","01","ERR0002"<endrec>
"57","02","30368","0","","01","BCS47001","01","ERR0004"<endrec>
"57","02","30369","0","","01","BCS47002","01","ERR0005"<endrec>
"57","02","30370","0","","01","AG47003","01","ERR0006"<endrec>
"57","02","30371","0","","01","AG47004","01","ERR0007"<endrec>
"57","02","30372","0","","01","AG47005","01","ERR0008"<endrec>
"57","02","30373","0","","01","BCS47003","01","ERR0009"<endrec>
"57","02","30374","0","","01","BCS47004","01","ERR0010"<endrec>
"57","02","30375","0","","01","AG47006","01","ERR0011"<endrec>
"57","02","30376","0","","01","AG47007","01","ERR0012"<endrec>
"57","02","30377","0","","01","AG47008","01","ERR0013"<endrec>
"57","02","30378","0","","01","BCS47005","01","ERR0014"<endrec>
"57","02","30379","0","","01","BCS47006","01","ERR0015"<endrec>
"57","02","30380","0","","01","BCS47007","01","ERR0016"<endrec>
"57","02","30381","0","","01","BCS47008","01","ERR0017"<endrec>
"57","02","30382","0","","01","BCS47009","01","ERR0018"<endrec>
"57","02","30383","0","","01","BCS47010","01","ERR0019"<endrec>
"57","02","30384","0","","01","BCS47011","01","ERR0020"<endrec>
"57","02","30385","0","","01","BCS47012","01","ERR0021"<endrec>
