AUTO_WF_SWITCH,CREATE_OPER_ID,CREATE_OPER_TIME,END_TIME,INTERVAL_TYPE,INTERVAL_VALUE,LAST_OPER_ID,LAST_OPER_TIME,LOAD_DATA_TS,MANUAL_WF_SWITCH,NOTIFICATION_ORG_ROLE,NOTIFICATION_SP_ROLE,NOTIFICATION_TYPE,PERIODIC_SWITCH,SETTLEMENT_PROFILE_DESC,SETTLEMENT_PROFILE_ID,SETTLEMENT_PROFILE_NAME,SP_NOTIFICATION_TYPE,START_TIME,STATUS,UNIQUE_ID                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      <endrec>
"0","203000000000013022","2016-04-26 04:28:49.204000","","","","203000000000013022","2016-04-26 04:29:13.690000","","0","500000000000010102","0","107000000000028033","0","Charges Paid Trigger Balance - Pay Bill","105","Charges Paid Trigger Balance - Pay Bill","0","","30","937197666"<endrec>
"0","203000000000013022","2016-04-26 04:32:21.682000","","","","203000000000013022","2016-04-26 04:32:31.899000","","0","500000000000010102","0","107000000000028033","0","Charges Paid Trigger Balance - Pay BillMerchant","117","Charges Paid Trigger Balance - Pay Bill And Merchant","0","","30","937197667"<endrec>
"0","203000000000013022","2016-04-26 04:39:18.621000","","1","1","203000000000013022","2016-04-26 04:40:26.310000","","0","500000000000010102","0","107000000000028033","1","Daily Settlement - Merchant","108","Daily Settlement - Merchant","0","","30","937197668"<endrec>
"0","203000000000013022","2016-04-26 04:43:36.132000","","1","1","203000000000013022","2016-04-26 04:45:40.509000","","0","500000000000010102","0","107000000000028033","1","Daily Settlement - Pay Bill","101","Daily Settlement - Pay Bill","0","","30","937197669"<endrec>
"0","203000000000013022","2016-04-26 04:45:29.522000","","1","1","203000000000013022","2016-04-26 04:45:51.287000","","0","500000000000010102","0","107000000000028033","1","Daily Settlement - Pay BillMerchant","113","Daily Settlement - Pay Bill and Merchant","0","","30","937197670"<endrec>
"0","203000000000013022","2016-04-26 04:54:47.189000","","","","203000000000013022","2016-04-26 04:55:15.703000","","0","500000000000010102","0","107000000000031032","0","M-Kesho Settlement","120","M-Kesho Settlement","0","","30","937197671"<endrec>
"0","203000000000013022","2016-04-26 05:01:03.849000","","","","203000000000015423","2016-09-01 13:57:10.653000","","0","500000000000010102","0","107000000000031032","0","M-Shwari Settlement","119","M-Shwari Settlement","0","","50","937197672"<endrec>
"0","203000000000013022","2016-04-26 05:05:56.299000","","","","203000000000013022","2016-04-26 05:06:06.393000","","0","500000000000010102","0","107000000000028033","0","Merchant Account Maximun Balance - Merchant","110","Merchant Account Maximun Balance - Merchant","0","","30","937197673"<endrec>
"0","203000000000013022","2016-04-26 05:08:50.052000","","","","203000000000013022","2016-04-26 05:09:48.066000","","0","500000000000010102","0","107000000000028033","0","Merchant Trigger Balance - Merchant","111","Merchant Trigger Balance - Merchant","0","","30","937197674"<endrec>
"0","203000000000010806","2016-04-26 09:01:38.037000","","","","203000000000010806","2016-04-26 09:36:32.885000","","0","500000000000010102","404000000000010001","107000000000062034","0","IBM Parent to child profile Manual","125","IBM Parent to child profile Manual","107000000000062034","","50","937197680"<endrec>
"0","203000000000010806","2016-04-26 09:36:16.476000","","","","203000000000013012","2016-04-26 09:46:15.951000","","0","500000000000010102","500000000000010004","107000000000062034","0","IBM Parent to child profile Manual","125","IBM Parent to child profile Manual","107000000000062034","","50","937197684"<endrec>
"0","203000000000013012","2016-04-26 09:45:59.558000","","","","203000000000014502","2016-04-26 12:36:43.557000","","0","500000000000010102","500000000000010004","107000000000062034","0","IBM Parent to child profile Manual","125","IBM Parent to child profile Manual","107000000000062034","","50","937197686"<endrec>
"0","203000000000013012","2016-04-26 11:19:58.235000","","5","10","203000000000013012","2016-04-26 11:29:51.876000","","0","500000000000010102","500000000000010004","107000000000062034","1","IBM Parent to child profile Automatic","126","IBM Parent to child profile Automatic","107000000000062034","","50","937197690"<endrec>
"0","203000000000013012","2016-04-26 11:29:41.037000","","5","10","203000000000010806","2016-04-27 07:55:41.819000","","0","500000000000010102","500000000000010004","107000000000062034","1","IBM Parent to child profile Automatic","126","IBM Parent to child profile Automatic","107000000000062034","","50","937197691"<endrec>
"0","203000000000014502","2016-04-26 12:25:53.284000","","","","203000000000011310","2016-04-27 13:51:37.615000","","0","500000000000010102","500000000000010004","107000000000062034","0","IBM Parent to child profile Manual","125","IBM Parent to child profile Manual","107000000000062034","","50","937197694"<endrec>
"0","203000000000013012","2016-04-26 13:59:38.940000","","","","203000000000013012","2016-04-27 11:07:48.961000","","0","500000000000010102","500000000000010004","107000000000062034","0","IBM Child to Parent profile Manual","127","IBM Child to Parent profile Manual","107000000000062034","","50","937197698"<endrec>
"0","203000000000013012","2016-04-26 14:56:08.001000","","","","203000000000013012","2016-04-27 06:45:37.216000","","0","500000000000010102","500000000000010004","107000000000062034","0","IBM Child to Parent profile Trigger Balance","128","IBM Child to Parent profile Trigger Balance","107000000000062034","","50","937197700"<endrec>
"0","203000000000014502","2016-04-26 14:57:36.489000","","","","203000000000012204","2016-04-27 07:44:48.577000","","0","500000000000010102","404000000000010001","107000000000062034","0","IBM Parent to child profile Manual - 1","129","IBM Parent to child profile Manual - 1","107000000000062034","","50","937197701"<endrec>
"0","203000000000013012","2016-04-27 06:41:25.908000","","","","203000000000013012","2016-04-28 07:45:19.621000","","0","500000000000010102","500000000000010004","107000000000062034","0","IBM Child to Parent profile Trigger Balance","128","IBM Child to Parent profile Trigger Balance","107000000000062034","","50","937197702"<endrec>
"0","203000000000012204","2016-04-27 07:44:21.917000","","","","203000000000012204","2016-04-27 08:09:51.842000","","0","500000000000010102","404000000000010001","107000000000062034","0","IBM Parent to child profile Trigger Balance","129","IBM Parent to child profile Manual - 1","107000000000062034","","50","937197704"<endrec>
"0","203000000000010806","2016-04-27 07:55:29.704000","","5","3","203000000000012204","2016-04-27 12:25:04.847000","","0","500000000000010102","500000000000010004","107000000000062034","1","IBM Parent to child profile Automatic","126","IBM Parent to child profile Automatic","107000000000062034","","50","937197705"<endrec>
"0","203000000000012204","2016-04-27 08:09:39.924000","","","","203000000000012204","2016-04-27 09:24:42.227000","","0","500000000000010102","404000000000010001","107000000000062034","0","IBM Parent to child profile Trigger Balance","129","IBM Parent to child profile Manual - 1","107000000000062034","","50","937197707"<endrec>
"0","203000000000012204","2016-04-27 09:24:28.769000","","","","203000000000012204","2016-04-27 11:26:58.673000","","0","500000000000010102","404000000000010001","107000000000062034","0","IBM Parent to child profile Trigger Balance","129","IBM Parent to child profile Manual - 1","107000000000062034","","50","937197710"<endrec>
"0","203000000000013012","2016-04-27 11:07:28.603000","","5","3","203000000000011310","2016-04-28 09:35:44.091000","","0","500000000000010102","500000000000010004","107000000000062034","1","IBM Child to Parent profile Manual","127","IBM Child to Parent profile Manual","107000000000062034","","50","937197711"<endrec>
"0","203000000000012204","2016-04-27 11:26:43.850000","","","","203000000000012204","2016-04-27 14:15:55.399000","","0","500000000000010102","404000000000010001","107000000000062034","0","IBM Parent to child profile Trigger Balance","129","IBM Parent to child profile Manual - 1","107000000000062034","","50","937197714"<endrec>
"0","203000000000012204","2016-04-27 12:24:40.723000","","5","3","203000000000012204","2016-04-28 12:22:52.948000","","0","500000000000010102","500000000000010004","107000000000062034","1","IBM Parent to child profile Automatic","126","IBM Parent to child profile Automatic","107000000000062034","","50","937197715"<endrec>
"0","203000000000011310","2016-04-27 13:51:26.051000","","","","203000000000013012","2016-04-28 07:13:44.387000","","0","500000000000010102","500000000000010004","107000000000062034","0","IBM Parent to child profile Manual","125","IBM Parent to child profile Manual","107000000000062034","","50","937197717"<endrec>
