IS_DEFAULT_REASON,LOAD_DATA_TS,REASON_INDEX,SERVICE_UNIQUE_ID                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           <endrec>
"false","","10000076","937472548"<endrec>
"false","","10000076","937472553"<endrec>
"false","","10000076","937487666"<endrec>
"false","","10000076","937497651"<endrec>
"false","","10000076","937497657"<endrec>
"false","","10000076","937510007"<endrec>
"false","2019-03-12 13:21:35.000000","10000076","937585794"<endrec>
"false","2019-05-10 13:32:10.000000","10000076","937605770"<endrec>
"false","2019-05-17 10:18:29.000000","10000076","937607760"<endrec>
"false","","10000077","20329"<endrec>
"false","","10000077","937163206"<endrec>
"false","","10000078","20328"<endrec>
"false","","10000078","937166440"<endrec>
"false","","10000078","937392663"<endrec>
"false","","10000078","937470868"<endrec>
"false","","10000078","937472544"<endrec>
"false","","10000078","937497651"<endrec>
"false","","10000079","20329"<endrec>
"false","","10000079","937163206"<endrec>
"false","","10000080","20328"<endrec>
"false","","10000080","937166440"<endrec>
"false","","10000080","937392663"<endrec>
"false","","10000080","937411155"<endrec>
"false","","10000080","937472544"<endrec>
"false","","10000080","937497651"<endrec>
"false","","10000080","937510007"<endrec>
"false","2019-03-12 13:21:35.000000","10000080","937585794"<endrec>
"false","2019-05-10 13:32:10.000000","10000080","937605770"<endrec>
"false","2019-05-17 10:18:29.000000","10000080","937607760"<endrec>
"false","","10000081","20329"<endrec>
"false","","10000081","937163206"<endrec>
"false","","10000083","30013138"<endrec>
"false","2018-10-02 14:44:35.000000","10000083","937535822"<endrec>
"false","","10000086","20337"<endrec>
"false","","10000086","30003054"<endrec>
"false","","10000086","30015722"<endrec>
"false","","10000086","937429182"<endrec>
"false","","10000087","20337"<endrec>
"false","","10000087","30003086"<endrec>
"true","","10000089","30116922"<endrec>
"false","","10000089","30120086"<endrec>
"false","","10000089","937262732"<endrec>
"true","","10000090","20314"<endrec>
"true","","10000090","937150118"<endrec>
"true","","10000090","937167323"<endrec>
"true","","10000090","937176393"<endrec>
"true","","10000090","937298838"<endrec>
"true","","10000090","937512874"<endrec>
"true","","10000090","937526731"<endrec>
"false","","10000091","20341"<endrec>
"false","","10000091","30150150"<endrec>
"false","","10000091","937336872"<endrec>
"false","","10000092","20341"<endrec>
"false","","10000092","30150150"<endrec>
"false","","10000092","937336872"<endrec>
"false","","10000094","20341"<endrec>
"false","","10000094","30150150"<endrec>
"false","","10000094","937336872"<endrec>
"false","","10000095","20337"<endrec>
"true","","10000095","30003055"<endrec>
"true","","10000095","30005013"<endrec>
"true","","10000095","30005016"<endrec>
"true","","10000095","937178488"<endrec>
"false","","10000095","937327960"<endrec>
"false","","10000095","937418113"<endrec>
"false","","10000095","937418115"<endrec>
"false","","10000095","937456373"<endrec>
"true","","10000095","937456375"<endrec>
"false","","10000095","937495614"<endrec>
