ALIAS,BUSINESS_SCOPE,CREATE_OPER_ID,CREATE_OPER_TIME,DESCRIPTION,LAST_OPER_ID,LAST_OPER_TIME,LOAD_DATA_TS,REASON_SELECTION_MODE,RECEIVER_TYPES,SERVICE_INDEX,SERVICE_NAME,STATUS,TXN_INDEX,UNIQUE_ID                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    <endrec>
"TransferFromBankToCustomer","2","203000000000010002","2014-04-12 14:12:52.366000","Transfer From Bank To Customer","203000000000010806","2017-11-17 09:43:33.185000","","0","","10053","Transfer From Bank To Customer","50","20004","30015722"<endrec>
"Customer Care Handset - Manage Identity","3","203000000000010005","2014-04-18 19:37:43.814000","Customer Care Handset - Manage Identity","203000000000010811","2018-04-25 11:48:34.341000","","1","","10061","Customer Care Handset - Manage Identity","50","27","30026245"<endrec>
"Reversal By CCH","2","203000000000010031","2014-05-22 00:36:46.936000","Reversal By CCH","203000000000015423","2018-02-02 08:39:21.908000","","0","","10074","Reversal By CCH","50","20027","30048262"<endrec>
"WithATMRevPart","2","203000000000010031","2014-05-22 01:50:36.557000","Withdrawal at ATM Reversal - Partial","203000000000010114","2014-10-29 20:14:54.633000","","0","","10075","Withdrawal at ATM Reversal - Partial","50","20027","30049244"<endrec>
"WithATMRevFull","2","203000000000010031","2014-05-22 01:52:28.618000","Withdrawal at ATM Reversal - Full","203000000000010114","2014-10-29 20:14:39.546000","","0","","10076","Withdrawal at ATM Reversal - Full","50","20027","30049245"<endrec>
"PayUtilRev","2","203000000000010031","2014-05-22 02:28:09.935000","Pay Utility Reversal","203000000000010031","2014-05-22 02:28:33.601000","","0","","10077","Pay Utility Reversal","30","20027","30050240"<endrec>
"PayMerRec","2","203000000000010031","2014-05-22 02:30:01.651000","Pay Merchant Reversal","203000000000010063","2014-10-11 12:13:23.317000","","0","","10078","Pay Merchant Reversal","30","20027","30050241"<endrec>
"ChangeOrgStatus","3","203000000000010031","2014-05-28 03:31:53.130000","Organization Management - Status","203000000000010031","2014-05-28 03:32:15.875000","","0","","10080","Organization Management - Status","30","27","30055281"<endrec>
"BICS_Intl_Trans_Funds","2","203000000000010036","2014-07-02 12:08:08.834000","BICS International Transfer of Funds","203000000000011203","2015-09-29 09:58:49.999000","","0","","10082","BICS International Transfer of Funds","50","20041","30071507"<endrec>
"WU_Intl_Trans_Funds","2","203000000000010036","2014-07-02 12:09:55.197000","WU International Transfer of Funds","203000000000010036","2014-07-02 12:11:48.488000","","0","","10083","WU International Transfer of Funds","30","20041","30071508"<endrec>
"Customer Withdrawal","2","203000000000010063","2014-07-04 09:50:59.720000","Customer Withdrawal","203000000000013109","2014-10-23 18:03:06.025000","","0","","10011","Customer Withdrawal","50","20008","30071533"<endrec>
"BICS_IMT_Req_Validate","2","203000000000010036","2014-07-07 10:29:58.886000","BICS IMT Request Validate","203000000000011203","2015-09-29 09:59:04.776000","","0","","10084","BICS IMT Request Validate","50","20041","30072466"<endrec>
"Merchant Services - MMF Account Transfer","2","203000000000010036","2014-07-11 14:53:03.148000","Merchant Services - MMF Account Transfer","203000000000010133","2014-10-09 12:11:27.576000","","0","","10085","Merchant Services - MMF Account Transfer","50","20003","30076493"<endrec>
"Pay Bill Settlement","2","203000000000010036","2014-07-11 16:15:18.804000","Pay Bill Settlement","203000000000010164","2014-11-13 13:22:13.113000","","0","","10086","Pay Bill Settlement","50","20039","30076496"<endrec>
"Merchant Settlement","2","203000000000010036","2014-07-11 16:19:05.799000","Merchant Settlement","203000000000010164","2014-11-13 13:22:33.702000","","0","","10087","Merchant Settlement","50","20039","30076497"<endrec>
"Activate Till","3","203000000000010063","2014-08-01 17:27:45.782000","Activate Till","203000000000014908","2016-12-02 03:05:46.953000","","0","","10066","Activate Till","50","27","30083565"<endrec>
"ProductPurchase","2","203000000000010063","2014-08-03 11:47:58.566000","Customer Buy Bundles","203000000000010063","2014-08-03 11:48:57.851000","","0","","10089","Customer Buy Bundles","30","20018","30084561"<endrec>
"Organization Account Management - Float Balance","3","203000000000010036","2014-08-25 19:14:44.256000","Organization Account Management - Float Balance","203000000000010036","2014-08-25 19:14:51.466000","","0","","10091","Organization Account Management - Float Balance","30","21","30090620"<endrec>
"Organization MiniStatement","3","203000000000010036","2014-09-08 16:38:35.367000","Organization MiniStatement","203000000000010036","2014-09-08 16:38:52.049000","","0","","10092","Organization MiniStatement","30","20","30094627"<endrec>
"Customer Buy Airtime For Other","2","203000000000010063","2014-09-19 10:59:00.582000","Customer Buy Airtime For Other","203000000000014911","2017-05-03 06:00:48.853000","","0","","10094","Customer Buy Airtime For Other","50","20018","30096636"<endrec>
"FSI_Deposit_Mshwari","2","203000000000010133","2014-10-01 14:57:53.280000","FSI Deposit For M-Shwari","203000000000010804","2015-09-09 20:17:22.097000","","0","","10096","FSI Deposit For M-Shwari","50","20046","30099748"<endrec>
"FSI Credit Client Activate","3","203000000000010063","2014-10-01 14:58:46.019000","FSI Credit Client Activate","203000000000010063","2014-10-01 15:12:51.058000","","0","","10097","FSI Credit Client Activate","30","27","30099749"<endrec>
"FSI_Loan_Req_Mshwari","2","203000000000010133","2014-10-01 14:58:57.212000","FSI Loan Request For M-Shwari","203000000000010804","2015-09-09 20:17:58.713000","","0","","10098","FSI Loan Request For M-Shwari","50","20048","30099750"<endrec>
"FSI_Loan_Disburse_Mshwari","2","203000000000010133","2014-10-01 14:59:57.220000","FSI Loan Disburse For M-Shwari","203000000000010133","2014-10-07 16:03:12.726000","","0","","10099","FSI Loan Disburse For M-Shwari","50","20048","30099751"<endrec>
"FSI_Loan_Repay_Mshwari","2","203000000000010133","2014-10-01 15:01:26.333000","FSI Loan Repayment For M-Shwari","203000000000010804","2015-09-09 20:17:35.425000","","0","","10101","FSI Loan Repayment For M-Shwari","50","20047","30099753"<endrec>
"FSI Credit Client Close","3","203000000000010063","2014-10-01 15:01:52.803000","FSI Credit Client Close","203000000000010063","2014-10-01 15:12:46.447000","","0","","10102","FSI Credit Client Close","30","27","30099754"<endrec>
"FSI_Loan_Repay_Sav_Mshwari","2","203000000000010133","2014-10-01 15:01:56.245000","FSI Loan Repayment from Savings For M-Shwari","203000000000010804","2015-09-09 20:17:45.859000","","0","","10103","FSI Loan Repayment from Savings For M-Shwari","50","20052","30099755"<endrec>
"FSI Request Insurance For M-Kesho","2","203000000000010063","2014-10-01 15:03:37.360000","FSI Request Insurance For M-Kesho","203000000000010133","2014-10-06 12:22:21.818000","","0","","10104","FSI Request Insurance For M-Kesho","50","20050","30099756"<endrec>
"FSI_Req_Loan_Statement_Mshwari","3","203000000000010133","2014-10-01 15:03:48.676000","FSI Request Loan Statement For M-Shwari","203000000000010804","2015-09-09 20:18:31.816000","","0","","10105","FSI Request Loan Statement For M-Shwari","50","29","30099757"<endrec>
"FSI_Payout_Mshwari","2","203000000000010133","2014-10-01 15:04:47.754000","FSI Payout For M-Shwari","203000000000010063","2014-10-01 15:11:57.627000","","0","","10106","FSI Payout For M-Shwari","30","20049","30099758"<endrec>
"FSI_Req_Mini_Staement_Mshwari","3","203000000000010133","2014-10-01 15:05:51.016000","FSI Request Mini Statement For M-Shwari","203000000000010804","2015-09-09 20:18:44.658000","","0","","10107","FSI Request Mini Statement For M-Shwari","50","29","30099759"<endrec>
"FSI_Req_Credit_Limit_Mshwari","3","203000000000010133","2014-10-01 15:06:23.363000","FSI Request Credit Limit For M-Shwari","203000000000010804","2015-09-09 20:18:21.264000","","0","","10108","FSI Request Credit Limit For M-Shwari","50","30","30099760"<endrec>
"FSI Withdraw For M-Kesho","2","203000000000010063","2014-10-01 15:06:38.685000","FSI Withdraw For M-Kesho","203000000000010133","2014-10-06 11:58:31.488000","","0","","10109","FSI Withdraw For M-Kesho","50","20051","30099761"<endrec>
