ORG_ROLE_ID,PERMISSION_IDENTIFIES                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       <endrec>
"10010002","MANAGE_GROUP_PER3_UNSUBSCRIBE_SAVING_PLAN_FOR_GROUP"<endrec>
"10010002","MANAGE_GROUP_PER3_UPDATE_BANK_ACCOUNT_INFO"<endrec>
"10010002","MANAGE_GROUP_PER3_VIEW_ACCOUNT_RULE_PROFILE"<endrec>
"10010002","MANAGE_GROUP_PER3_VIEW_AUDIT_LOG"<endrec>
"10010002","MANAGE_GROUP_PER3_VIEW_BANK_CARD"<endrec>
"10010002","MANAGE_GROUP_PER3_VIEW_BANK_CARD_LOOKUP"<endrec>
"10010002","MANAGE_GROUP_PER3_VIEW_CHARGE_PROFILE"<endrec>
"10010002","MANAGE_GROUP_PER3_VIEW_CREDIT_LIMT_ACCOUNT"<endrec>
"10010002","MANAGE_GROUP_PER3_VIEW_GROUP_ACCUMULATOR"<endrec>
"10010002","MANAGE_GROUP_PER3_VIEW_GROUP_INFO"<endrec>
"10010002","MANAGE_GROUP_PER3_VIEW_GROUP_MEMBER"<endrec>
"10010002","MANAGE_GROUP_PER3_VIEW_KYC_INFO"<endrec>
"10010002","MANAGE_GROUP_PER3_VIEW_RULE_PROFILE"<endrec>
"10010002","MANAGE_GROUP_PER3_VIEW_SUBSCRIBED_SAVING_PLAN"<endrec>
"10010002","MANAGE_ORGANIZATION_AUDITLOG_EXPORT"<endrec>
"10010002","MANAGE_ORGANIZATION_AUDITLOG_VIEW"<endrec>
"10010002","MANAGE_ORGANIZATION_CHANGE_BASIC_INFO"<endrec>
"10010002","MANAGE_ORGANIZATION_CHANGE_CHARGE_DISTRIBUTION_MODEL"<endrec>
"10010002","MANAGE_ORGANIZATION_CHANGE_CHARGE_PROFILE"<endrec>
"10010002","MANAGE_ORGANIZATION_CHANGE_CHARGE_PROFILE_VIEW"<endrec>
"10010002","MANAGE_ORGANIZATION_CHANGE_PRODUCT"<endrec>
"10010002","MANAGE_ORGANIZATION_CHANGE_RULE_PROFILE"<endrec>
"10010002","MANAGE_ORGANIZATION_CHANGE_RULE_PROFILE_VIEW"<endrec>
"10010002","MANAGE_ORGANIZATION_CLOSE_O2C_LINKAGE"<endrec>
"10010002","MANAGE_ORGANIZATION_CREATE_O2C_LINKAGE"<endrec>
