ALIAS,CATEGORY_CODE,DISPLAY_LEVEL,DISPLAY_ORDER,ID,IS_ENABLE,LINKED_SERVICE_CODE,PARENT_ID,REQUEST_TEXT,SERVICE_CODE,STK_TRANSACTION_TYPE,USSD_CMD,USSD_PROCESS_ID                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      <endrec>
"Group Transfer from Bank to M-Pesa","CUSTOMER","3","6","29301","1","","22551","6","Transfer from Bank to M-Pesa","","","1564"<endrec>
"Group Transfer from M-Pesa to Bank","CUSTOMER","3","7","29302","1","","22551","7","Transfer from M-Pesa to Bank","","","1583"<endrec>
"CCH Add Group Member","TILL","2","3","29401","1","","26601","3","CCH Add Group Member","","","29303"<endrec>
"CCH Remove Group Member","TILL","2","4","29403","1","","26601","4","Remove Group Member","","","29404"<endrec>
"CCH Change Group Member Role","TILL","2","5","29420","1","","26601","6","Change Group Member Role","","","23318"<endrec>
"Cancel Standing Order Schedule by group","CUSTOMER","2","4","29502","1","","22550","5","Cancel Standing Order Schedule by group","","","1596"<endrec>
"View Standing Order Schedule By Group","CUSTOMER","2","3","29503","1","","22550","6","View Group Reminder Schedule Details","","","1575"<endrec>
"Create Standing Order Schedule For Pay Bill  By Group","CUSTOMER","2","2","29504","1","Group Pay Bill","22550","7","Create Group Reminder Schedule","","","1601"<endrec>
"Transfer from Bank To M-PESA","CUSTOMER","3","7","29601","1","","1001","7","Transfer from Bank to M-Pesa","","","1557"<endrec>
"Transfer from Bank To M-M-PESA2","CUSTOMER","3","8","29602","1","Transfer from Bank to M-Pesa","1001","8","Create Customer Reminder Schedule","","","1300"<endrec>
"Transfer From M-PESA To Bank","TILL","3","2","29801","1","Org Transfer From M-PESA to Bank","26502","2","Create Org Reminder Schedule","","","1602"<endrec>
"Transfer From Bank To M-PESA","TILL","3","3","29802","1","Transfer from Bank to M-Pesa","26502","3","Create Org Reminder Schedule","","","1602"<endrec>
"Transfer From M-PESA To Bank","CUSTOMER","3","9","29803","1","Transfer from M-Pesa to Bank","1001","9","Create Customer Reminder Schedule","","","1300"<endrec>
"CustomerFF","CUSTOMER","1","7","29903","1","","-1","46","-1","","CustomerFF","-1"<endrec>
"Query_CustomerFF","CUSTOMER","2","1","29904","1","","29903","1","Query_CustomerFF","","Query_CustomerFF","2164"<endrec>
"Manager_CustomerFF","CUSTOMER","2","2","29905","1","","29903","2","Manager_CustomerFF","","Manager_CustomerFF","2165"<endrec>
"Bank Account","CUSTOMER","1","17","300","1","","-1","34","-1","","","-1"<endrec>
"Buy Goods earn Loyalty","CUSTOMER","2","5","30001","1","","25502","85","Customer Buy Goods with Loyalty Receive","","","1025"<endrec>
"Create Bank Account","CUSTOMER","2","1","301","1","","300","1","Create Bank Account","","","1524"<endrec>
"CCH Create Group","TILL","2","6","30101","1","","26601","7","Create Group","","","23131"<endrec>
"Set Default Bank Account","CUSTOMER","2","3","302","0","","300","2","Set Default Bank Account","","","1525"<endrec>
"Customer Query 3rd Bill","CUSTOMER","2","10","30203","1","","20401","13","CustomerQuery3rdBill_VDF_Demo","","","2225"<endrec>
"Delete Bank Account","CUSTOMER","2","4","303","1","","300","3","Delete Bank Account","","","1526"<endrec>
"Online Cash In","CUSTOMER","2","5","304","0","","300","4","Online Cash In","","","1539"<endrec>
"Redeem Loyalty","CUSTOMER","2","6","30401","1","","25502","86","Customer Buy Goods with Loyalty exchange","","","1836"<endrec>
"Rdeem Loyalty Points","TILL","2","9","30402","1","","25507","97","Organisation redeem Loyalty Points","","","1870"<endrec>
"Issue Loyalty Point to Consumer","TILL","2","10","30403","1","","25507","98","Org Issue Loyalty to customer","","","1870"<endrec>
"Query Bank Account","CUSTOMER","2","6","305","1","","300","5","Query Bank Account","Query_Customer_Bank_Account","","1584"<endrec>
"Create Standing Order Schedule","CUSTOMER","2","8","30507","1","PayBill_VDF_Demo","2356","5","Create Standing Order Schedule","Create_Standing_Order_Schedule","","1600"<endrec>
"Create Group Bank Account","CUSTOMER","2","7","306","1","","300","6","Create Bank Account","Create_Group_Bank_Account","","1654"<endrec>
"Query Group Bank Account","CUSTOMER","2","8","307","1","","300","7","Query Bank Account","Query_Group_Bank_Account","","1656"<endrec>
"Group Edit Direct Debit Mandate","CUSTOMER","3","2","3070","1","","4000","2","Edit Direct Debit Mandate by Group","","","1660"<endrec>
"Perform OTC without Voucher","TILL","2","5","30701","1","","20301","3","-1","","","-1"<endrec>
"Airtime Purchase","TILL","3","1","30702","1","","30701","1","OTC Buy AirTime_VDF_Demo","","","20304"<endrec>
"Group Cancel Direct Debit Mandate","CUSTOMER","3","2","3071","1","","4001","2","Cancel Direct Debit Mandate by Group","","","1661"<endrec>
"Group Reactivate Direct Debit Mandate","CUSTOMER","3","2","3072","1","","4002","2","Reactivate Direct Debit Mandate by Group","","","1662"<endrec>
"Edit Direct Debit Mandate By Payer","TILL","3","2","3075","1","","4003","2","Edit Direct Debit Mandate by Org","","","1670"<endrec>
"Edit Direct Debit Mandate By Payee","TILL","3","1","3076","1","","4003","1","Edit Payee Direct Debit Mandate by Org","","","1671"<endrec>
"Cancel Direct Debit Mandate By Payee","TILL","3","2","3077","1","","4004","2","Cancel Payee Direct Debit Mandate by Org","","","1673"<endrec>
