IS_INSTANTLY,NOTIFICATION_TYPE,OPERATION_CODE,RECEIVING_CHANNEL,RECIPIENT_ROLE,RECIPIENT_SUB_ROLE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       <endrec>
"1","107000000000001025","ChangeOrgOperatorLanguage","0000","02","0"<endrec>
"1","102000000000000036","ChangeOrgOperatorNotificationChannel","0000","02","0"<endrec>
"1","102000000000000071","ChangeOrgOperatorOwnKYC","9999","01","0"<endrec>
"1","107000000000001006","ChangeOrgOperatorPIN","1001","0101","0"<endrec>
"1","107000000000001006","ChangeOrgOperatorPIN","9999","01","0"<endrec>
"1","102000000000000017","ChangeOrgOperatorPassword","0000","01","0"<endrec>
"1","102000000000000080","ChangeOrgOperatorRuleProfile","9999","01","0"<endrec>
"1","102000000000000080","ChangeOrgOperatorRuleProfile","9999","02","0"<endrec>
"1","107000000000000015","ChangeOrgOperatorSecretWord","1001","01","0"<endrec>
"1","102000000000000075","ChangeOrgOperatorStatus","9999","01","0"<endrec>
"1","102000000000000075","ChangeOrgOperatorStatus","9999","02","0"<endrec>
"1","208000000000086238","ChangeOrgParentShortCode","9999","01","0"<endrec>
"1","102000000000000050","ChangeOrgParentShortCode","9999","02","0"<endrec>
"1","102000000000000085","ChangeOrgProduct","9999","02","0"<endrec>
"1","102000000000000080","ChangeOrgRuleProfile","9999","01","0"<endrec>
"1","102000000000000031","ChangeOrgRuleProfile","9999","02","0"<endrec>
"1","102000000000000029","ChangeOrgSegment","0000","02","0"<endrec>
"1","102000000000000073","ChangeOrgStatus","0000","02","0"<endrec>
"1","102000000000000045","ChangeOrgTaxExemption","0000","01","0"<endrec>
"1","102000000000000045","ChangeOrgTaxExemption","0000","02","0"<endrec>
"1","102000000000000045","ChangeOrgTaxExemption","0000","0201","0"<endrec>
"1","102000000000000046","ChangePrimaryOperator","0000","02","0"<endrec>
"1","102000000000000053","ChangePrimaryTill","0000","02","0"<endrec>
"1","102000000000000070","ChangeSPOperatorKYC","0000","02","0"<endrec>
"1","102000000000000017","ChangeSPOperatorPassword","0000","01","0"<endrec>
"1","103010700000001354","ChangeSPOperatorRuleProfile","9999","01","0"<endrec>
"1","103010700000001354","ChangeSPOperatorRuleProfile","9999","02","0"<endrec>
"1","107000000000001025","ChangeTillLanguage","0000","02","0"<endrec>
"1","102000000000000034","ChangeTillProduct","0000","01","0"<endrec>
"1","102000000000000034","ChangeTillProduct","9999","02","0"<endrec>
"1","102000000000000034","ChangeTillProduct","9999","06","0"<endrec>
"1","102000000000000076","ChangeTillStatus","9999","01","0"<endrec>
"1","102000000000000076","ChangeTillStatus","9999","02","0"<endrec>
"1","102000000000000013","CloseCustAdditionalAccountStatus","9999","01","0"<endrec>
"1","102000000000000024","CloseOrgAdditionalAcctStatus","9999","01","0"<endrec>
"1","208000000000096238","ConfirmGroupMembership","9999","01","0"<endrec>
"1","208000000000096238","ConfirmGroupMembership","9999","02","0"<endrec>
"1","208000000000054238","ConfirmGroupMembership","9999","06","0"<endrec>
"1","208000000000033238","CreateAccount","0000","01","0"<endrec>
"1","208000000000033238","CreateAccount","0000","02","0"<endrec>
"1","208000000000040241","CreateChildOrg","0000","0201","0"<endrec>
"1","208000000000040241","CreateChildOrg","9999","01","0"<endrec>
"1","208000000000040241","CreateChildOrg","9999","02","0"<endrec>
"1","208000000000052241","CreateCustLoyaltyAccount","9999","01","0"<endrec>
"1","208000000000052241","CreateCustLoyaltyAccount","9999","02","0"<endrec>
"1","107000000000015032","CreateCustomer","0000","01","0"<endrec>
"1","107000000000001013","CreateCustomer","9999","02","0"<endrec>
"1","208000000000023238","CreateCustomerBundle","9999","02","0"<endrec>
"1","208000000000021249","CreateDirectDebitMandateByCustomer","9999","01","0"<endrec>
"1","208000000000021249","CreateDirectDebitMandateByCustomer","9999","49","0"<endrec>
"1","208000000000088238","CreateDirectDebitMandateByCustomer","9999","50","0"<endrec>
"1","208000000000021249","CreateDirectDebitMandateByGroup","9999","49","0"<endrec>
