CREATE_OPER_ID,CREATE_OPER_TIME,DESCRIPTION,LAST_OPER_ID,LAST_OPER_TIME,LIMIT_ACCU_CONDITION_FLAG,LIMIT_EXPRESSION_ID,LIMIT_PATTERN,LIMIT_TYPE_ID,LIMIT_TYPE_NAME,STATUS,THRESHOLD_TYPE,TRANSACTION_ROLE_TYPE,UNIQUE_ID                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 <endrec>
"203000000000010005","2014-03-26 07:59:54.131000","Maximum Transfer From Bank To Unregistered User","203000000000010005","2014-03-26 08:00:00.938000","","","0","1039000","Maximum Transfer From Bank To Unregistered User","30","0","D","30004094"<endrec>
"203000000000010005","2014-03-26 08:01:04.062000","Minimum Transfer From Bank To Unregistered User","203000000000010005","2014-03-26 08:01:09.867000","","","1","1040000","Minimum Transfer From Bank To Unregistered User","30","0","D","30004096"<endrec>
"203000000000010005","2014-03-26 08:10:15.557000","Minimum Charges Paid Account Balance","203000000000010005","2014-03-26 08:10:22.218000","","","1","1041000","Minimum Charges Paid Account Balance","30","1","D","30004098"<endrec>
"203000000000010005","2014-03-26 08:29:36.549000","Minimum Customer Pay Merchant","203000000000010005","2014-03-26 08:29:43.043000","","","1","1042000","Minimum Customer Pay Merchant","30","0","C","30004100"<endrec>
"203000000000010005","2014-03-26 08:31:10.695000","Maximum Customer Pay Merchant","203000000000010005","2014-03-26 08:31:18.032000","","","0","1043000","Maximum Customer Pay Merchant","30","0","C","30004102"<endrec>
"203000000000010005","2014-03-26 08:45:21.699000","Minimum Merchant Account Balance","203000000000010005","2014-03-26 08:45:27.055000","","","1","1044000","Minimum Merchant Account Balance","30","1","D","30004105"<endrec>
"203000000000010005","2014-03-26 08:47:40.512000","Maximum Merchant Account Balance","203000000000010005","2014-03-26 08:47:46.735000","","","0","1045000","Maximum Merchant Account Balance","30","1","C","30004107"<endrec>
"203000000000010005","2014-03-26 08:50:17.976000","Minimum Merchant Account Transfer Value","203000000000010005","2014-03-26 08:50:22.394000","","","1","1046000","Minimum Merchant Account Transfer Value","30","0","D","30004109"<endrec>
"203000000000010005","2014-03-26 09:05:05.141000","Maximum Primary Assistant Daily Transfer","203000000000010005","2014-03-26 09:05:10.042000","","","0","1047000","Maximum Primary Assistant Daily Transfer","30","2","D","30004113"<endrec>
"203000000000010005","2014-03-26 09:10:49.973000","Maximum Primary Assistant Transfer Value","203000000000010005","2014-03-26 09:10:56.301000","","","0","1048000","Maximum Primary Assistant Transfer Value","30","0","D","30004116"<endrec>
"203000000000010005","2014-03-26 10:18:15.307000","Maximum Primary Assistant Deposit At Agent","203000000000010005","2014-03-26 10:18:26.399000","","","0","2002000","Maximum Primary Assistant Deposit At Agent","30","0","D","30005002"<endrec>
"203000000000010005","2014-03-26 10:23:45.394000","Minimum Primary Assistant Deposit At Agent Till","203000000000010005","2014-03-26 10:24:06.284000","","","1","2004000","Minimum Primary Assistant Deposit At Agent Till","30","0","D","30005005"<endrec>
"203000000000010005","2014-03-26 10:25:13.809000","Minimum Primary Assistant Transfer","203000000000010005","2014-03-26 10:25:20.119000","","","1","2005000","Minimum Primary Assistant Transfer","30","0","D","30005007"<endrec>
"203000000000010005","2014-03-26 10:41:23.242000","Maximum H/O Assistant Daily Debit","203000000000010005","2014-03-26 10:43:35.713000","","","0","2006000","Maximum H/O Assistant Daily Debit","30","2","D","30005010"<endrec>
"203000000000010005","2014-03-26 10:46:19.013000","Maximum H/O Assistant Daily Credit","203000000000010005","2014-03-26 10:46:29.431000","","","0","2007000","Maximum H/O Assistant Daily Credit","30","2","C","30005012"<endrec>
"203000000000010005","2014-03-26 10:49:34.355000","Minimum H/O Assistant Transfer","203000000000010005","2014-03-26 10:49:40.593000","","","1","2008000","Minimum H/O Assistant Transfer","30","0","D","30005015"<endrec>
"203000000000010005","2014-03-26 10:52:06.460000","Maximum H/O Assistant Transfer","203000000000010005","2014-03-26 10:52:16.786000","","","0","2009000","Maximum H/O Assistant Transfer","30","0","D","30005018"<endrec>
"203000000000010005","2014-03-26 11:07:46.992000","Default MNO Limit","203000000000010005","2014-03-26 11:07:56.852000","","","1","2010000","Default MNO Limit","30","0","D","30005021"<endrec>
"203000000000010002","2014-03-31 14:28:20.896000","Minimum MMF Account For Customer Balance Check","203000000000010002","2014-03-31 14:32:54.785000","","","1","2012000","Minimum MMF Account For Customer Balance Check","30","1","D","30010084"<endrec>
"203000000000010002","2014-04-11 20:13:15.056000","Maximum Recycle Transfer","203000000000010002","2014-04-12 11:13:24.990000","","","0","3012000","Maximum Recycle Transfer","30","0","C","30015708"<endrec>
"203000000000010002","2014-04-12 11:12:20.360000","Minimum Recycle Transfer","203000000000010002","2014-04-12 11:13:24.709000","","","1","3013000","Minimum Recycle Transfer","30","0","C","30015715"<endrec>
"203000000000010002","2014-04-12 11:12:48.168000","Maximum Recycle Daily Transfer","203000000000010002","2014-04-12 11:13:24.832000","","","0","3014000","Maximum Recycle Daily Transfer","30","2","C","30015716"<endrec>
"203000000000010002","2014-04-12 17:28:48.835000","Minimum Float Redistribution Balance Check","203000000000010002","2014-04-12 17:29:16.605000","","","1","3015000","Minimum Float Redistribution Balance Check","30","1","D","30015723"<endrec>
"203000000000010036","2014-07-02 14:16:27.800000","Maximum International Transfer to Customer","203000000000010133","2014-10-14 17:21:02.479000","","","0","6012000","Maximum International Transfer to Customer","50","0","D","30071512"<endrec>
"203000000000010063","2014-07-14 10:28:34.606000","Duplicate Debit","203000000000010063","2014-07-14 10:31:59.041000","","","0","7012000","Duplicate Debit","30","5","D","30077467"<endrec>
"203000000000010063","2014-07-14 10:28:55.005000","Duplicate Credit","203000000000010063","2014-07-14 10:31:59.222000","","","0","7013000","Duplicate Credit","30","5","C","30077468"<endrec>
"203000000000010036","2014-08-07 09:38:55.357000","Minimum ATM Float Account Tranfer","203000000000010036","2014-08-07 09:39:28.111000","","","1","8012000","Minimum ATM Float Account Tranfer","30","0","D","30085573"<endrec>
"203000000000010036","2014-08-07 09:39:19.181000","Maximum ATM Float Account Balance","203000000000010036","2014-08-07 09:39:25.137000","","","0","8013000","Maximum ATM Float Account Balance","30","1","C","30085574"<endrec>
"203000000000010133","2014-09-25 15:31:55.671000","Minimum IMT Provider Utility Account Balance Check","203000000000010133","2014-09-25 15:32:10.982000","","","1","9013000","Minimum IMT Provider Utility Account Balance Check","30","1","D","30097653"<endrec>
"203000000000010133","2014-09-30 09:58:28.549000","Duplicate Airtime Purchase","203000000000010133","2014-09-30 09:58:40.197000","","","0","10012000","Duplicate Airtime Purchase","30","5","D","30098640"<endrec>
"203000000000010133","2014-10-01 15:17:08.319000","Minimum Deposit with FI Organisation","203000000000010133","2014-10-01 15:47:50.251000","","","1","11012000","Minimum Deposit with FI Organisation","30","0","D","30099774"<endrec>
"203000000000010133","2014-10-01 15:17:36.356000","Minimum Pay Loan to FI Organisation","203000000000010133","2014-10-01 15:47:33.225000","","","1","11013000","Minimum Pay Loan to FI Organisation","30","0","D","30099775"<endrec>
"203000000000010133","2014-10-01 15:18:02.646000","Minimum Loan Disbursement to Customer","203000000000010133","2014-10-01 15:47:15.575000","","","1","11014000","Minimum Loan Disbursement to Customer","30","0","C","30099776"<endrec>
"203000000000010133","2014-10-01 15:18:16.951000","Maximum Loan Disbursement to Customer","203000000000010133","2014-10-01 15:46:56.684000","","","0","11015000","Maximum Loan Disbursement to Customer","30","0","C","30099777"<endrec>
"203000000000010133","2014-10-06 19:15:03.535000","Minimum B2B transfer","203000000000010133","2014-10-06 19:15:41.548000","","","1","12012000","Minimum B2B transfer","30","0","D","30100700"<endrec>
"203000000000010133","2014-10-06 19:15:25.981000","Maximum B2B transfer","203000000000019121","2018-05-18 14:27:27.189000","","0","0","12013000","Maximum B2B transfer","50","0","D","30100701"<endrec>
"203000000000010133","2014-10-13 09:40:25.855000","Minimum Revenue Payment to Owner","203000000000010133","2014-10-13 09:41:39.831000","","","1","13012000","Minimum Revenue Payment to Owner","30","0","D","30105855"<endrec>
"203000000000010133","2014-10-13 09:40:42.634000","Maximum Revenue Payment to Owner","203000000000010133","2014-10-13 09:41:36.000000","","","0","13013000","Maximum Revenue Payment to Owner","30","0","D","30105856"<endrec>
"203000000000010133","2014-10-14 17:20:57.867000","Maximum International Transfer to Customer","203000000000010133","2014-10-14 17:21:02.491000","","","0","6012000","Maximum International Transfer to Customer","30","0","C","30107848"<endrec>
