BUSINESS_SCOPE,CHARGE_CATEGORY_TYPE,CHARGE_CREDIT_PARTY_MESSAGE,CHARGE_DEBIT_PARTY_MESSAGE,CHARGE_PAYER,CHARGE_PROFILE_FROMS,CHARGE_RECEIVER,CHARGE_TYPE_DESCRIPTION,CHARGE_TYPE_ID,CHARGE_TYPE_NAME,CHARGING_MODE,CREATE_OPER_ID,CREATE_OPER_TIME,DYNAMIC_VALUE,EFFECTIVE_MODE,LAST_OPER_ID,LAST_OPER_TIME,LOAD_DATA_TS,NEED_ALTERNATIVE_CHARGE,PRINCIPLE_TYPE,STATUS,UNIQUE_ID                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        <endrec>
"3","1","New PIN Reset For {ChargePayer} Charge","New PIN Reset For {ChargePayer} Charge","1002","1002","1005","Reset Customer PIN Charge","10000096","Reset Customer PIN Charge","","203000000000010063","2014-10-15 15:58:47.059000","","0","203000000000010063","2014-10-15 15:59:04.865000","","0","27","30","30109843"<endrec>
"2","1","Business Pay Bill Charge by Receiver","Business Pay Bill Charge by Receiver","1003","1003","1005","Business Pay Bill Charge by Receiver","10000098","Business Pay Bill Charge by Receiver","","203000000000010114","2014-10-29 20:28:54.698000","","0","203000000000010114","2014-10-29 21:16:17.210000","","0","20009","50","30116935"<endrec>
"2","1","Business Buy Goods Charge by Receiver","Business Buy Goods Charge by Receiver","1003","1003","1005","Business Buy Goods Charge by Receiver","10000099","Business Buy Goods Charge by Receiver","","203000000000010114","2014-10-29 20:31:13.769000","","0","203000000000010114","2014-10-29 20:31:28.181000","","0","20003","30","30116936"<endrec>
"2","1","Disbursement of Funds Charge by Receiver","Disbursement of Funds Charge by Receiver","1003","1003","1005","Disbursement of Funds Charge by Receiver","10000100","Disbursement of Funds Charge by Receiver","","203000000000010114","2014-10-29 20:32:38.177000","","0","203000000000010114","2014-10-29 20:33:11.686000","","0","20003","30","30116937"<endrec>
"2","1","Business Pay Bill Charge by Receiver","Business Pay Bill Charge by Receiver","1003","1003","1005","Business Pay Bill Charge by Receiver","10000098","Business Pay Bill Charge by Receiver","","203000000000010114","2014-10-29 21:16:09.014000","","0","203000000000010114","2014-10-29 21:16:17.263000","","0","20003","30","30116940"<endrec>
"2","1","Business Transfer Charge","Business Transfer Charge","1004","1003","1005","","10000101","Business Transfer Charge","","203000000000010114","2014-10-31 11:37:22.022000","","0","203000000000010114","2014-10-31 11:37:27.411000","","0","20003","30","30116954"<endrec>
"2","1","Business Transfer Charge by Receiver","Business Transfer Charge by Receiver","1003","1003","1005","","10000102","Business Transfer Charge by Receiver","","203000000000010114","2014-10-31 11:38:15.558000","","0","203000000000010114","2014-10-31 11:38:31.979000","","0","20003","30","30116955"<endrec>
"2","1","Merchant Transfer Charge","Merchant Transfer Charge","1004","1003","1005","Merchant Transfer Charge","10000103","Merchant Transfer Charge","","203000000000010114","2014-10-31 11:39:35.874000","","0","203000000000010114","2014-10-31 11:39:55.967000","","0","20003","30","30116956"<endrec>
"2","1","Merchant Transfer Charge by Receiver","Merchant Transfer Charge by Receiver","1003","1003","1005","Merchant Transfer Charge by Receiver","10000104","Merchant Transfer Charge by Receiver","","203000000000010114","2014-10-31 11:40:33.905000","","0","203000000000010114","2014-10-31 11:40:43.826000","","0","20003","30","30116957"<endrec>
"2","1","Withdrawal Charge","Withdrawal Charge","1004","1003","1005","Withdrawal Charge to SP","10000033","Withdrawal Charge to SP","","203000000000010164","2014-11-12 17:47:22.612000","","0","203000000000010164","2014-11-12 17:47:28.511000","","0","20008","30","30120084"<endrec>
"2","1","FSI Organization Savings Client Payout Bulk Charge","FSI Organization Savings Client Payout Bulk Charge","1004","1003","1005","FSI Final Payout Bulk Charge","10000106","FSI Final Payout Bulk Charge","","203000000000010164","2014-11-21 16:41:04.391000","","0","203000000000010164","2014-11-21 16:41:15.739000","","0","20059","30","30127090"<endrec>
"3","1","Savings Client Balance Request Charge","Savings Client Balance Request Charge","1001","1001","1005","Savings Client Balance Request Charge","10000072","Savings Client Balance Request Charge","","203000000000010164","2014-12-01 15:37:10.415000","","0","203000000000010164","2014-12-01 15:37:16.988000","","0","28","30","30135079"<endrec>
"2","1","Savings Client Withdrawal Request Charge","Savings Client Withdrawal Request Charge","1004","1003","1005","Savings Client Withdrawal Request Charge","10000087","Savings Client Withdrawal Request Charge","","203000000000010164","2014-12-08 19:48:24.403000","","0","203000000000010164","2014-12-08 19:48:36.551000","","0","20051","30","30136102"<endrec>
"2","2","Commission for Agent Pay Bill {ChargeReceiver}","Commission for Agent Pay Bill","1005","1004","1004","","10001161","PayBill OTC Commission","","203000000000010809","2015-09-08 03:14:44.486000","0","0","203000000000010809","2015-09-08 03:14:53.689000","","0","20698","30","937156157"<endrec>
"2","1","Charge for Agent Pay Bill {ChargePayer}","Charge for Agent Pay Bill {ChargeReceiver}","1003","1003","1005","","10001162","OTC PayBill Organisation Charge","","203000000000010809","2015-09-08 03:17:15.719000","0","0","203000000000018910","2017-02-13 07:48:40.212000","","0","20698","50","937156158"<endrec>
"2","5","","","1004","1004","1003","","10001171","IMT Transfer Abroad Extra Fee","","203000000000011204","2015-09-17 13:12:16.487000","1","0","203000000000011204","2015-09-17 13:12:23.248000","","0","20803","30","937161208"<endrec>
"2","5","","","1004","1004","1003","","10001181","OTC IMT Transfer Abroad Extra Fee","","203000000000013608","2016-01-04 10:01:37.713000","1","0","203000000000013608","2016-01-04 10:47:03.047000","","0","20800","50","937178565"<endrec>
"2","5","","","1004","1004","1003","","10001181","OTC IMT Transfer Abroad Extra Fee","","203000000000013608","2016-01-04 10:24:30.397000","1","0","203000000000013608","2016-01-04 10:47:03.109000","","0","20800","30","937178569"<endrec>
"3","1","","","1001","1001","1005","Customer ATM Deposit","10001191","Customer ATM Deposit","","203000000000013506","2016-04-07 12:34:48.297000","0","0","203000000000013506","2016-04-07 12:35:00.151000","","0","8","30","937192545"<endrec>
"2","1","","","1004","1004","1005","","10001201","In-net C2C","","203000000000012204","2016-04-22 13:40:11.884000","0","0","203000000000012204","2016-04-22 13:40:25.412000","","0","21102","30","937197625"<endrec>
"2","3","","","1005","1007","1007","IBM Airtime registration commission","10001202","IBM Airtime registration commission","","203000000000010811","2016-05-02 12:05:47.125000","0","0","203000000000010811","2016-05-02 12:06:09.928000","","0","20018","30","937197808"<endrec>
