ERROR_CODE,IS_INSTANTLY,NOTIFICATION_TYPE,OPERATION_CODE,RECEIVING_CHANNEL,RECIPIENT_ROLE,RECIPIENT_SUB_ROLE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            <endrec>
"IC40249","1","107000000000008036","CCHIdentifyCustomer","1001","01","0"<endrec>
"IC40249","1","107000000000008036","CCHIdentifyOrgOperator","1001","01","0"<endrec>
"IC40249","1","107000000000008036","CCHResetCustPIN","1001","01","0"<endrec>
"IC40249","1","107000000000008036","CCHResetOrgOperatorPIN","1001","01","0"<endrec>
"IC40249","1","107000000000008036","CCHUnlockCustPIN","1001","01","0"<endrec>
"IC40249","1","107000000000008036","CCHUnlockOrgOperatorPIN","1001","01","0"<endrec>
"IC40249","1","107000000000008036","ChangeCustLanguage","1001","01","0"<endrec>
"IC40249","1","107000000000008036","ChangeCustPIN","1001","01","0"<endrec>
"IC40249","1","107000000000008036","ChangeCustSecretWord","1001","01","0"<endrec>
"IC40249","1","107000000000008036","ChangeOrgOperatorPIN","1001","01","0"<endrec>
"IC40249","1","107000000000008036","ChangeOrgOperatorSecretWord","1001","01","0"<endrec>
"IC40249","1","107000000000008036","CreateCustomer","1001","01","0"<endrec>
"IC40249","1","107000000000008036","CreateOrgOperator","1001","01","0"<endrec>
"IC40249","1","107000000000008036","UnlockFixSavingAccount","1001","01","0"<endrec>
"IC40249","1","107000000000008036","UnlockTargetSavingAccount","1001","01","0"<endrec>
"IC40249","1","107000000000008036","UpgradeCustomer","1001","01","0"<endrec>
"IC40276","1","208000000000034239","ActiveOrgFSIProducts","0000","01","0"<endrec>
"IC40326","1","208000000000034242","ChangeLinkStatus","9999","02","0"<endrec>
"IC40346","1","208000000000034239","ActiveOrgFSIProducts","0000","01","0"<endrec>
"IC40346","1","208000000000034239","ActiveOrgFSIProducts","0000","02","0"<endrec>
"IC40366","1","102000000000000106","CustomerGetStartPIN","1001","01","0"<endrec>
"IC40420","1","208000000000034238","AddCustomerBeneficiary","9999","02","0"<endrec>
"IC40434","1","208000000000034244","AddCustomerBeneficiary","9999","02","0"<endrec>
"IC40434","1","208000000000034244","AddOrgBeneficiary","9999","01","0"<endrec>
"IC40581","1","208000000000119238","AddGroupMember","9999","01","0"<endrec>
"IC40581","1","208000000000102242","ChangeGroupMemberRole","9999","01","0"<endrec>
"IC40586","1","208000000000057238","ChangeGroupMemberRole","9999","7000","500000000000011802"<endrec>
"IC40586","1","208000000000057238","ChangeGroupMemberRole","9999","7000","500000000000011803"<endrec>
"IC40589","1","208000000000034239","ApproveGroupTask","9999","01","0"<endrec>
"IC40630","1","208000000000034242","ActiveGroupFSIProducts","9999","01","0"<endrec>
"IC40632","1","208000000000034242","ActiveGroupFSIProducts","9999","01","0"<endrec>
"IC40637","1","208000000000034239","CreateIdentityBankAccount","0000","01","0"<endrec>
"IC40649","1","208000000000034239","CreateCustomerBundle","0000","02","0"<endrec>
"IC40649","1","208000000000034239","CreateCustomerBundle","0000","15","0"<endrec>
"IC40649","1","208000000000033244","CreateOrganizationBundle","9999","01","0"<endrec>
"IC40649","1","208000000000033244","CreateOrganizationBundle","9999","02","0"<endrec>
"IC40650","1","208000000000036239","CreateCustomerBundle","0000","02","0"<endrec>
"IC40650","1","208000000000036239","CreateOrganizationBundle","9999","01","0"<endrec>
"IC40650","1","208000000000036239","CreateOrganizationBundle","9999","02","0"<endrec>
"IC50010","1","208000000000021254","CreateDirectDebitMandateByCustomer","9999","01","0"<endrec>
"IC50031","1","107000000000076040","CustomerActivateCard","0000","02","0"<endrec>
